gantry_id,time_key,gantry_time,gantry_flow,gantry_speed,e1_time,e1_flow,e1_speed,e1_occupancy
G420151001000110010,2025-08-11 03:00:00,2025-08-11 03:00:00,12,,2025-08-11 03:00:00,6.0,27.540000000000003,0.12
G420151001000110010,2025-08-11 03:05:00,2025-08-11 03:05:00,23,,2025-08-11 03:05:00,13.0,27.53538461538462,0.26333333333333336
G420151001000110010,2025-08-11 03:10:00,2025-08-11 03:10:00,19,,2025-08-11 03:10:00,19.0,27.53526315789474,0.38333333333333336
G420151001000110010,2025-08-11 03:15:00,2025-08-11 03:15:00,30,,2025-08-11 03:15:00,24.0,27.519166666666667,0.48333333333333334
G420151001000110010,2025-08-11 03:20:00,2025-08-11 03:20:00,19,,2025-08-11 03:20:00,20.0,27.54,0.4033333333333333
G420151001000110010,2025-08-11 03:25:00,2025-08-11 03:25:00,21,,2025-08-11 03:25:00,23.0,27.54826086956522,0.4633333333333334
G420151001000110010,2025-08-11 03:30:00,2025-08-11 03:30:00,18,,2025-08-11 03:30:00,19.0,27.507368421052632,0.3833333333333333
G420151001000110010,2025-08-11 03:35:00,2025-08-11 03:35:00,22,,2025-08-11 03:35:00,18.0,27.518888888888892,0.36333333333333334
G420151001000110010,2025-08-11 03:40:00,2025-08-11 03:40:00,11,,2025-08-11 03:40:00,15.0,27.58,0.30333333333333334
G420151001000110010,2025-08-11 03:45:00,2025-08-11 03:45:00,17,,2025-08-11 03:45:00,17.0,27.53,0.3433333333333333
G420151001000110010,2025-08-11 03:50:00,2025-08-11 03:50:00,16,,2025-08-11 03:50:00,11.0,27.56,0.22333333333333336
G420151001000110010,2025-08-11 03:55:00,2025-08-11 03:55:00,16,,2025-08-11 03:55:00,23.0,27.53434782608696,0.4633333333333334
G420151001000120010,2025-08-11 03:00:00,2025-08-11 03:00:00,35,,2025-08-11 03:00:00,12.0,27.49,0.24333333333333332
G420151001000120010,2025-08-11 03:05:00,2025-08-11 03:05:00,18,,2025-08-11 03:05:00,12.0,27.49,0.24333333333333332
G420151001000120010,2025-08-11 03:10:00,2025-08-11 03:10:00,32,,2025-08-11 03:10:00,20.0,26.360000000000003,0.4566666666666667
G420151001000120010,2025-08-11 03:15:00,2025-08-11 03:15:00,28,,2025-08-11 03:15:00,31.0,27.33,0.63
G420151001000120010,2025-08-11 03:20:00,2025-08-11 03:20:00,35,,2025-08-11 03:20:00,28.0,26.360714285714288,0.6033333333333334
G420151001000120010,2025-08-11 03:25:00,2025-08-11 03:25:00,24,,2025-08-11 03:25:00,26.0,27.48,0.5266666666666667
G420151001000120010,2025-08-11 03:30:00,2025-08-11 03:30:00,15,,2025-08-11 03:30:00,15.0,27.55,0.30333333333333334
G420151001000120010,2025-08-11 03:35:00,2025-08-11 03:35:00,16,,2025-08-11 03:35:00,22.0,27.08,0.45333333333333337
G420151001000120010,2025-08-11 03:40:00,2025-08-11 03:40:00,21,,2025-08-11 03:40:00,20.0,27.519,0.4033333333333333
G420151001000120010,2025-08-11 03:45:00,2025-08-11 03:45:00,24,,2025-08-11 03:45:00,24.0,27.378333333333334,0.48666666666666664
G420151001000120010,2025-08-11 03:50:00,2025-08-11 03:50:00,19,,2025-08-11 03:50:00,21.0,27.48,0.42333333333333334
G420151001000120010,2025-08-11 03:55:00,2025-08-11 03:55:00,29,,2025-08-11 03:55:00,24.0,27.39625,0.48666666666666664
G420151001000220010,2025-08-11 03:00:00,2025-08-11 03:00:00,26,,2025-08-11 03:00:00,11.0,17.97,0.3933333333333333
G420151001000220010,2025-08-11 03:05:00,2025-08-11 03:05:00,27,,2025-08-11 03:05:00,17.0,22.18,0.49
G420151001000220010,2025-08-11 03:10:00,2025-08-11 03:10:00,33,,2025-08-11 03:10:00,23.0,23.022608695652174,0.63
G420151001000220010,2025-08-11 03:15:00,2025-08-11 03:15:00,28,,2025-08-11 03:15:00,29.0,24.33,0.7400000000000001
G420151001000220010,2025-08-11 03:20:00,2025-08-11 03:20:00,28,,2025-08-11 03:20:00,25.0,25.67,0.5800000000000001
G420151001000220010,2025-08-11 03:25:00,2025-08-11 03:25:00,26,,2025-08-11 03:25:00,19.0,25.08,0.45999999999999996
G420151001000220010,2025-08-11 03:30:00,2025-08-11 03:30:00,11,,2025-08-11 03:30:00,18.0,24.81,0.4466666666666667
G420151001000220010,2025-08-11 03:35:00,2025-08-11 03:35:00,20,,2025-08-11 03:35:00,19.0,23.515263157894736,0.5066666666666667
G420151001000220010,2025-08-11 03:40:00,2025-08-11 03:40:00,30,,2025-08-11 03:40:00,28.0,21.597857142857144,0.8266666666666667
G420151001000220010,2025-08-11 03:45:00,2025-08-11 03:45:00,23,,2025-08-11 03:45:00,28.0,24.362142857142853,0.7066666666666667
G420151001000220010,2025-08-11 03:50:00,2025-08-11 03:50:00,29,,2025-08-11 03:50:00,26.0,22.92,0.7200000000000001
G420151001000220010,2025-08-11 03:55:00,2025-08-11 03:55:00,27,,2025-08-11 03:55:00,30.0,22.25,0.8633333333333334
G420151001000410010,2025-08-11 03:00:00,2025-08-11 03:00:00,29,,2025-08-11 03:00:00,20.0,27.52,0.4033333333333333
G420151001000410010,2025-08-11 03:05:00,2025-08-11 03:05:00,33,,2025-08-11 03:05:00,31.0,27.562580645161294,0.6233333333333334
G420151001000410010,2025-08-11 03:10:00,2025-08-11 03:10:00,17,,2025-08-11 03:10:00,26.0,27.49807692307692,0.5233333333333333
G420151001000410010,2025-08-11 03:15:00,2025-08-11 03:15:00,28,,2025-08-11 03:15:00,21.0,27.49,0.42333333333333334
G420151001000410010,2025-08-11 03:20:00,2025-08-11 03:20:00,35,,2025-08-11 03:20:00,39.0,27.54076923076923,0.7866666666666667
G420151001000410010,2025-08-11 03:25:00,2025-08-11 03:25:00,31,,2025-08-11 03:25:00,24.0,27.531666666666666,0.48333333333333334
G420151001000410010,2025-08-11 03:30:00,2025-08-11 03:30:00,20,,2025-08-11 03:30:00,25.0,27.559999999999995,0.5033333333333333
G420151001000410010,2025-08-11 03:35:00,2025-08-11 03:35:00,25,,2025-08-11 03:35:00,32.0,27.565312499999997,0.6433333333333333
G420151001000410010,2025-08-11 03:40:00,2025-08-11 03:40:00,32,,2025-08-11 03:40:00,33.0,27.562424242424242,0.6633333333333333
G420151001000410010,2025-08-11 03:45:00,2025-08-11 03:45:00,26,,2025-08-11 03:45:00,34.0,27.518235294117652,0.6866666666666666
G420151001000410010,2025-08-11 03:50:00,2025-08-11 03:50:00,23,,2025-08-11 03:50:00,27.0,27.545555555555556,0.5433333333333333
G420151001000410010,2025-08-11 03:55:00,2025-08-11 03:55:00,26,,2025-08-11 03:55:00,30.0,27.560999999999996,0.6033333333333333
G420151001000510010,2025-08-11 03:00:00,2025-08-11 03:00:00,31,,2025-08-11 03:00:00,0.0,-1.0,0.0
G420151001000510010,2025-08-11 03:05:00,2025-08-11 03:05:00,27,,2025-08-11 03:05:00,20.0,27.55,0.4033333333333333
G420151001000510010,2025-08-11 03:10:00,2025-08-11 03:10:00,34,,2025-08-11 03:10:00,36.0,27.525,0.7266666666666667
G420151001000510010,2025-08-11 03:15:00,2025-08-11 03:15:00,30,,2025-08-11 03:15:00,26.0,27.557307692307692,0.5233333333333333
G420151001000510010,2025-08-11 03:20:00,2025-08-11 03:20:00,24,,2025-08-11 03:20:00,22.0,27.54,0.44333333333333336
G420151001000510010,2025-08-11 03:25:00,2025-08-11 03:25:00,26,,2025-08-11 03:25:00,35.0,27.527714285714286,0.7066666666666667
G420151001000510010,2025-08-11 03:30:00,2025-08-11 03:30:00,32,,2025-08-11 03:30:00,25.0,27.5148,0.5033333333333333
G420151001000510010,2025-08-11 03:35:00,2025-08-11 03:35:00,23,,2025-08-11 03:35:00,27.0,27.56037037037037,0.5433333333333333
G420151001000510010,2025-08-11 03:40:00,2025-08-11 03:40:00,37,,2025-08-11 03:40:00,33.0,27.520000000000003,0.6666666666666666
G420151001000510010,2025-08-11 03:45:00,2025-08-11 03:45:00,38,,2025-08-11 03:45:00,34.0,27.506176470588233,0.6866666666666666
G420151001000510010,2025-08-11 03:50:00,2025-08-11 03:50:00,30,,2025-08-11 03:50:00,28.0,27.500714285714285,0.5666666666666667
G420151001000510010,2025-08-11 03:55:00,2025-08-11 03:55:00,27,,2025-08-11 03:55:00,35.0,27.54142857142857,0.7066666666666667
G420151001000520010,2025-08-11 03:00:00,2025-08-11 03:00:00,31,,2025-08-11 03:00:00,13.0,27.529999999999998,0.26333333333333336
G420151001000520010,2025-08-11 03:05:00,2025-08-11 03:05:00,46,,2025-08-11 03:05:00,34.0,27.54176470588235,0.6866666666666666
G420151001000520010,2025-08-11 03:10:00,2025-08-11 03:10:00,40,,2025-08-11 03:10:00,26.0,27.52423076923077,0.5233333333333333
G420151001000520010,2025-08-11 03:15:00,2025-08-11 03:15:00,49,,2025-08-11 03:15:00,39.0,27.521538461538466,0.79
G420151001000520010,2025-08-11 03:20:00,2025-08-11 03:20:00,32,,2025-08-11 03:20:00,35.0,27.496,0.7066666666666667
G420151001000520010,2025-08-11 03:25:00,2025-08-11 03:25:00,34,,2025-08-11 03:25:00,38.0,27.539473684210527,0.7666666666666666
G420151001000520010,2025-08-11 03:30:00,2025-08-11 03:30:00,36,,2025-08-11 03:30:00,35.0,27.581714285714284,0.7033333333333333
G420151001000520010,2025-08-11 03:35:00,2025-08-11 03:35:00,29,,2025-08-11 03:35:00,28.0,27.567857142857143,0.5633333333333334
G420151001000520010,2025-08-11 03:40:00,2025-08-11 03:40:00,38,,2025-08-11 03:40:00,45.0,27.005,0.9966666666666667
G420151001000520010,2025-08-11 03:45:00,2025-08-11 03:45:00,36,,2025-08-11 03:45:00,43.0,27.48139534883721,0.8666666666666667
G420151001000520010,2025-08-11 03:50:00,2025-08-11 03:50:00,33,,2025-08-11 03:50:00,33.0,27.541212121212123,0.6666666666666666
G420151001000520010,2025-08-11 03:55:00,2025-08-11 03:55:00,38,,2025-08-11 03:55:00,39.0,27.55333333333333,0.7866666666666666
G420151001000610010,2025-08-11 03:00:00,2025-08-11 03:00:00,36,,2025-08-11 03:00:00,13.0,27.509999999999998,0.26333333333333336
