gantry_id,end_gantryid,gantry_name,start_time,flow,k1,k2,k3,k4,h1,h2,h3,h4,h5,h6,t1,t2,t3,t4,t5,t6,total_k,total_h,total_t,speed,avg_duration,distance,time_key
G000551002000110010,G000551002000210010,,2025-08-11 03:00:00,11,4,0,0,0,0,1,0,0,1,5,0,0,0,0,0,0,4,7,0,,,,2025-08-11 03:00:00
G000551002000110010,G000551002000210010,,2025-08-11 03:05:00,16,5,0,0,0,0,1,5,0,0,5,0,0,0,0,0,0,5,11,0,,,,2025-08-11 03:05:00
G000551002000110010,G000551002000210010,,2025-08-11 03:10:00,7,2,0,0,0,1,0,2,0,0,1,1,0,0,0,0,0,2,4,1,,,,2025-08-11 03:10:00
G000551002000110010,G000551002000210010,,2025-08-11 03:15:00,9,1,0,0,0,2,0,4,0,1,1,0,0,0,0,0,0,1,8,0,,,,2025-08-11 03:15:00
G000551002000110010,G000551002000210010,,2025-08-11 03:20:00,12,4,0,0,0,0,3,1,0,0,4,0,0,0,0,0,0,4,8,0,,,,2025-08-11 03:20:00
G000551002000110010,G000551002000210010,,2025-08-11 03:25:00,4,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,4,0,,,,2025-08-11 03:25:00
G000551002000110010,G000551002000210010,,2025-08-11 03:30:00,17,2,0,0,0,2,3,4,0,2,4,0,0,0,0,0,0,2,15,0,,,,2025-08-11 03:30:00
G000551002000110010,G000551002000210010,,2025-08-11 03:35:00,7,3,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,3,4,0,,,,2025-08-11 03:35:00
G000551002000110010,G000551002000210010,,2025-08-11 03:40:00,10,5,0,0,0,0,2,1,0,0,2,0,0,0,0,0,0,5,5,0,,,,2025-08-11 03:40:00
G000551002000110010,G000551002000210010,,2025-08-11 03:45:00,14,7,0,0,0,1,1,3,0,1,1,0,0,0,0,0,0,7,7,0,,,,2025-08-11 03:45:00
G000551002000110010,G000551002000210010,,2025-08-11 03:50:00,13,6,0,0,0,0,3,1,0,0,3,0,0,0,0,0,0,6,7,0,,,,2025-08-11 03:50:00
G000551002000110010,G000551002000210010,,2025-08-11 03:55:00,10,2,0,0,0,0,2,4,0,0,2,0,0,0,0,0,0,2,8,0,,,,2025-08-11 03:55:00
G000551002000210010,G000551002000310010,,2025-08-11 03:00:00,6,1,0,0,0,0,0,1,0,2,2,0,0,0,0,0,0,1,5,0,,,,2025-08-11 03:00:00
G000551002000210010,G000551002000310010,,2025-08-11 03:05:00,12,5,0,0,0,0,1,2,0,0,4,0,0,0,0,0,0,5,7,0,,,,2025-08-11 03:05:00
G000551002000210010,G000551002000310010,,2025-08-11 03:10:00,15,4,0,0,0,1,2,4,0,0,4,0,0,0,0,0,0,4,11,0,,,,2025-08-11 03:10:00
G000551002000210010,G000551002000310010,,2025-08-11 03:15:00,7,1,0,0,0,0,1,3,0,0,1,1,0,0,0,0,0,1,5,1,,,,2025-08-11 03:15:00
G000551002000210010,G000551002000310010,,2025-08-11 03:20:00,10,1,0,0,0,3,1,4,0,1,0,0,0,0,0,0,0,1,9,0,,,,2025-08-11 03:20:00
G000551002000210010,G000551002000310010,,2025-08-11 03:25:00,10,4,0,0,0,0,2,0,0,0,4,0,0,0,0,0,0,4,6,0,,,,2025-08-11 03:25:00
G000551002000210010,G000551002000310010,,2025-08-11 03:30:00,13,2,0,0,0,2,3,3,0,0,3,0,0,0,0,0,0,2,11,0,,,,2025-08-11 03:30:00
G000551002000210010,G000551002000310010,,2025-08-11 03:35:00,10,1,0,0,0,1,2,2,0,2,2,0,0,0,0,0,0,1,9,0,,,,2025-08-11 03:35:00
G000551002000210010,G000551002000310010,,2025-08-11 03:40:00,11,6,0,0,0,1,1,3,0,0,0,0,0,0,0,0,0,6,5,0,,,,2025-08-11 03:40:00
G000551002000210010,G000551002000310010,,2025-08-11 03:45:00,7,3,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,3,4,0,,,,2025-08-11 03:45:00
G000551002000210010,G000551002000310010,,2025-08-11 03:50:00,17,9,0,0,0,1,3,2,0,1,1,0,0,0,0,0,0,9,8,0,,,,2025-08-11 03:50:00
G000551002000210010,G000551002000310010,,2025-08-11 03:55:00,13,4,0,0,0,0,2,3,0,0,4,0,0,0,0,0,0,4,9,0,,,,2025-08-11 03:55:00
G000551002000220010,G000551002000120010,,2025-08-11 03:00:00,5,3,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,3,2,0,,,,2025-08-11 03:00:00
G000551002000220010,G000551002000120010,,2025-08-11 03:05:00,3,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,3,0,,,,2025-08-11 03:05:00
G000551002000220010,G000551002000120010,,2025-08-11 03:10:00,6,3,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,3,3,0,,,,2025-08-11 03:10:00
G000551002000220010,G000551002000120010,,2025-08-11 03:15:00,6,2,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,2,4,0,,,,2025-08-11 03:15:00
G000551002000220010,G000551002000120010,,2025-08-11 03:20:00,7,3,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,3,4,0,,,,2025-08-11 03:20:00
G000551002000220010,G000551002000120010,,2025-08-11 03:25:00,6,1,0,0,0,0,3,1,0,0,1,0,0,0,0,0,0,1,5,0,,,,2025-08-11 03:25:00
G000551002000220010,G000551002000120010,,2025-08-11 03:30:00,5,1,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,1,4,0,,,,2025-08-11 03:30:00
G000551002000220010,G000551002000120010,,2025-08-11 03:35:00,6,3,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,3,3,0,,,,2025-08-11 03:35:00
G000551002000220010,G000551002000120010,,2025-08-11 03:40:00,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,,,,2025-08-11 03:40:00
G000551002000220010,G000551002000120010,,2025-08-11 03:45:00,4,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,3,0,,,,2025-08-11 03:45:00
G000551002000220010,G000551002000120010,,2025-08-11 03:50:00,8,4,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,4,4,0,,,,2025-08-11 03:50:00
G000551002000220010,G000551002000120010,,2025-08-11 03:55:00,4,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,2,0,,,,2025-08-11 03:55:00
G000551002000310010,G000551003000110010,,2025-08-11 03:00:00,10,5,0,0,0,0,1,1,0,0,3,0,0,0,0,0,0,5,5,0,,,,2025-08-11 03:00:00
G000551002000310010,G000551003000110010,,2025-08-11 03:05:00,9,5,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,5,4,0,,,,2025-08-11 03:05:00
G000551002000310010,G000551003000110010,,2025-08-11 03:10:00,5,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,3,2,0,,,,2025-08-11 03:10:00
G000551002000310010,G000551003000110010,,2025-08-11 03:15:00,13,5,0,0,0,0,1,1,0,2,4,0,0,0,0,0,0,5,8,0,,,,2025-08-11 03:15:00
G000551002000310010,G000551003000110010,,2025-08-11 03:20:00,16,5,0,0,0,1,1,2,1,0,6,0,0,0,0,0,0,5,11,0,,,,2025-08-11 03:20:00
G000551002000310010,G000551003000110010,,2025-08-11 03:25:00,17,4,0,0,0,2,2,5,0,0,3,1,0,0,0,0,0,4,12,1,,,,2025-08-11 03:25:00
G000551002000310010,G000551003000110010,,2025-08-11 03:30:00,12,3,0,0,0,2,0,4,1,0,2,0,0,0,0,0,0,3,9,0,,,,2025-08-11 03:30:00
G000551002000310010,G000551003000110010,,2025-08-11 03:35:00,17,5,0,0,0,1,3,2,0,1,5,0,0,0,0,0,0,5,12,0,,,,2025-08-11 03:35:00
G000551002000310010,G000551003000110010,,2025-08-11 03:40:00,7,2,0,0,0,0,0,3,1,0,1,0,0,0,0,0,0,2,5,0,,,,2025-08-11 03:40:00
G000551002000310010,G000551003000110010,,2025-08-11 03:45:00,7,2,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,2,5,0,,,,2025-08-11 03:45:00
G000551002000310010,G000551003000110010,,2025-08-11 03:50:00,10,6,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,6,4,0,,,,2025-08-11 03:50:00
G000551002000310010,G000551003000110010,,2025-08-11 03:55:00,4,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,4,0,,,,2025-08-11 03:55:00
G000551002000320010,G000551002000220010,,2025-08-11 03:00:00,8,6,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,6,2,0,,,,2025-08-11 03:00:00
G000551002000320010,G000551002000220010,,2025-08-11 03:05:00,3,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,2,0,,,,2025-08-11 03:05:00
G000551002000320010,G000551002000220010,,2025-08-11 03:10:00,12,3,0,0,0,2,3,1,2,0,1,0,0,0,0,0,0,3,9,0,,,,2025-08-11 03:10:00
G000551002000320010,G000551002000220010,,2025-08-11 03:15:00,8,3,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,3,5,0,,,,2025-08-11 03:15:00
G000551002000320010,G000551002000220010,,2025-08-11 03:20:00,7,1,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,1,6,0,,,,2025-08-11 03:20:00
G000551002000320010,G000551002000220010,,2025-08-11 03:25:00,5,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,2,0,,,,2025-08-11 03:25:00
G000551002000320010,G000551002000220010,,2025-08-11 03:30:00,3,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,3,0,,,,2025-08-11 03:30:00
G000551002000320010,G000551002000220010,,2025-08-11 03:35:00,4,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,2,0,,,,2025-08-11 03:35:00
G000551002000320010,G000551002000220010,,2025-08-11 03:40:00,6,2,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,2,4,0,,,,2025-08-11 03:40:00
G000551002000320010,G000551002000220010,,2025-08-11 03:45:00,6,3,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,3,3,0,,,,2025-08-11 03:45:00
G000551002000320010,G000551002000220010,,2025-08-11 03:50:00,5,0,0,0,0,0,0,3,1,0,1,0,0,0,0,0,0,0,5,0,,,,2025-08-11 03:50:00
G000551002000320010,G000551002000220010,,2025-08-11 03:55:00,3,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,,,,2025-08-11 03:55:00
G000551003000110010,G000551003000210010,,2025-08-11 03:00:00,12,6,0,0,0,0,0,2,0,0,4,0,0,0,0,0,0,6,6,0,,,,2025-08-11 03:00:00
G000551003000110010,G000551003000210010,,2025-08-11 03:05:00,12,5,0,0,0,3,1,2,1,0,0,0,0,0,0,0,0,5,7,0,,,,2025-08-11 03:05:00
G000551003000110010,G000551003000210010,,2025-08-11 03:10:00,17,5,0,0,0,0,1,7,1,0,3,0,0,0,0,0,0,5,12,0,,,,2025-08-11 03:10:00
G000551003000110010,G000551003000210010,,2025-08-11 03:15:00,17,4,0,0,0,1,1,4,0,0,7,0,0,0,0,0,0,4,13,0,,,,2025-08-11 03:15:00
G000551003000110010,G000551003000210010,,2025-08-11 03:20:00,14,4,0,0,0,1,1,2,1,1,4,0,0,0,0,0,0,4,10,0,,,,2025-08-11 03:20:00
G000551003000110010,G000551003000210010,,2025-08-11 03:25:00,7,2,0,0,0,0,1,2,0,1,1,0,0,0,0,0,0,2,5,0,,,,2025-08-11 03:25:00
G000551003000110010,G000551003000210010,,2025-08-11 03:30:00,8,4,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,4,4,0,,,,2025-08-11 03:30:00
G000551003000110010,G000551003000210010,,2025-08-11 03:35:00,13,4,0,0,0,1,1,4,0,2,1,0,0,0,0,0,0,4,9,0,,,,2025-08-11 03:35:00
G000551003000110010,G000551003000210010,,2025-08-11 03:40:00,11,3,0,0,0,1,1,2,1,0,3,0,0,0,0,0,0,3,8,0,,,,2025-08-11 03:40:00
G000551003000110010,G000551003000210010,,2025-08-11 03:45:00,12,2,0,0,0,1,0,4,0,0,5,0,0,0,0,0,0,2,10,0,,,,2025-08-11 03:45:00
G000551003000110010,G000551003000210010,,2025-08-11 03:50:00,15,2,0,0,0,2,2,5,0,0,3,1,0,0,0,0,0,2,12,1,,,,2025-08-11 03:50:00
G000551003000110010,G000551003000210010,,2025-08-11 03:55:00,15,3,0,0,0,1,4,3,1,1,2,0,0,0,0,0,0,3,12,0,,,,2025-08-11 03:55:00
G000551003000120010,G000551002000320010,,2025-08-11 03:00:00,7,1,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,1,6,0,,,,2025-08-11 03:00:00
G000551003000120010,G000551002000320010,,2025-08-11 03:05:00,8,2,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,2,6,0,,,,2025-08-11 03:05:00
G000551003000120010,G000551002000320010,,2025-08-11 03:10:00,3,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,,,,2025-08-11 03:10:00
G000551003000120010,G000551002000320010,,2025-08-11 03:15:00,8,1,0,0,0,0,1,5,1,0,0,0,0,0,0,0,0,1,7,0,,,,2025-08-11 03:15:00
G000551003000120010,G000551002000320010,,2025-08-11 03:20:00,5,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,5,0,,,,2025-08-11 03:20:00
G000551003000120010,G000551002000320010,,2025-08-11 03:25:00,11,2,0,0,0,3,0,4,2,0,0,0,0,0,0,0,0,2,9,0,,,,2025-08-11 03:25:00
G000551003000120010,G000551002000320010,,2025-08-11 03:30:00,5,3,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,3,2,0,,,,2025-08-11 03:30:00
G000551003000120010,G000551002000320010,,2025-08-11 03:35:00,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,,,,2025-08-11 03:35:00
G000551003000120010,G000551002000320010,,2025-08-11 03:40:00,6,2,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,2,4,0,,,,2025-08-11 03:40:00
G000551003000120010,G000551002000320010,,2025-08-11 03:45:00,14,7,0,0,0,0,2,4,1,0,0,0,0,0,0,0,0,7,7,0,,,,2025-08-11 03:45:00
G000551003000120010,G000551002000320010,,2025-08-11 03:50:00,7,1,0,0,0,0,1,3,1,0,1,0,0,0,0,0,0,1,6,0,,,,2025-08-11 03:50:00
G000551003000120010,G000551002000320010,,2025-08-11 03:55:00,5,1,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,1,4,0,,,,2025-08-11 03:55:00
G000551003000210010,G000551003000310010,,2025-08-11 03:00:00,5,1,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,1,4,0,,,,2025-08-11 03:00:00
G000551003000210010,G000551003000310010,,2025-08-11 03:05:00,13,5,0,0,0,2,0,4,0,0,2,0,0,0,0,0,0,5,8,0,,,,2025-08-11 03:05:00
G000551003000210010,G000551003000310010,,2025-08-11 03:10:00,15,3,0,0,0,1,1,6,2,0,2,0,0,0,0,0,0,3,12,0,,,,2025-08-11 03:10:00
G000551003000210010,G000551003000310010,,2025-08-11 03:15:00,16,4,0,0,0,1,1,7,0,0,3,0,0,0,0,0,0,4,12,0,,,,2025-08-11 03:15:00
G000551003000210010,G000551003000310010,,2025-08-11 03:20:00,14,3,0,0,0,2,2,1,0,1,5,0,0,0,0,0,0,3,11,0,,,,2025-08-11 03:20:00
G000551003000210010,G000551003000310010,,2025-08-11 03:25:00,11,2,0,0,0,0,1,3,1,1,3,0,0,0,0,0,0,2,9,0,,,,2025-08-11 03:25:00
G000551003000210010,G000551003000310010,,2025-08-11 03:30:00,7,2,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,2,5,0,,,,2025-08-11 03:30:00
G000551003000210010,G000551003000310010,,2025-08-11 03:35:00,10,4,0,0,0,1,1,3,0,1,0,0,0,0,0,0,0,4,6,0,,,,2025-08-11 03:35:00
G000551003000210010,G000551003000310010,,2025-08-11 03:40:00,9,0,0,0,0,0,1,3,1,1,3,0,0,0,0,0,0,0,9,0,,,,2025-08-11 03:40:00
G000551003000210010,G000551003000310010,,2025-08-11 03:45:00,15,4,0,0,0,1,0,5,0,0,5,0,0,0,0,0,0,4,11,0,,,,2025-08-11 03:45:00
G000551003000210010,G000551003000310010,,2025-08-11 03:50:00,15,1,0,0,0,2,2,5,0,0,4,1,0,0,0,0,0,1,13,1,,,,2025-08-11 03:50:00
G000551003000210010,G000551003000310010,,2025-08-11 03:55:00,12,2,0,0,0,0,2,6,1,0,1,0,0,0,0,0,0,2,10,0,,,,2025-08-11 03:55:00
G000551003000220010,G000551003000120010,,2025-08-11 03:00:00,6,3,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,3,3,0,,,,2025-08-11 03:00:00
G000551003000220010,G000551003000120010,,2025-08-11 03:05:00,7,2,0,0,0,1,1,3,0,0,0,0,0,0,0,0,0,2,5,0,,,,2025-08-11 03:05:00
G000551003000220010,G000551003000120010,,2025-08-11 03:10:00,6,2,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,2,4,0,,,,2025-08-11 03:10:00
G000551003000220010,G000551003000120010,,2025-08-11 03:15:00,7,1,0,0,0,1,1,4,0,0,0,0,0,0,0,0,0,1,6,0,,,,2025-08-11 03:15:00
G000551003000220010,G000551003000120010,,2025-08-11 03:20:00,6,1,0,0,0,1,1,1,2,0,0,0,0,0,0,0,0,1,5,0,,,,2025-08-11 03:20:00
G000551003000220010,G000551003000120010,,2025-08-11 03:25:00,7,1,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,1,6,0,,,,2025-08-11 03:25:00
G000551003000220010,G000551003000120010,,2025-08-11 03:30:00,5,2,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,2,3,0,,,,2025-08-11 03:30:00
G000551003000220010,G000551003000120010,,2025-08-11 03:35:00,3,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,2,0,,,,2025-08-11 03:35:00
G000551003000220010,G000551003000120010,,2025-08-11 03:40:00,10,4,0,0,0,0,1,4,0,0,1,0,0,0,0,0,0,4,6,0,,,,2025-08-11 03:40:00
G000551003000220010,G000551003000120010,,2025-08-11 03:45:00,7,3,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,3,4,0,,,,2025-08-11 03:45:00
G000551003000220010,G000551003000120010,,2025-08-11 03:50:00,8,1,0,0,0,0,1,4,1,0,1,0,0,0,0,0,0,1,7,0,,,,2025-08-11 03:50:00
G000551003000220010,G000551003000120010,,2025-08-11 03:55:00,5,0,0,0,0,1,3,1,0,0,0,0,0,0,0,0,0,0,5,0,,,,2025-08-11 03:55:00
G000551003000310010,G000551003000410010,,2025-08-11 03:00:00,9,4,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,4,5,0,,,,2025-08-11 03:00:00
G000551003000310010,G000551003000410010,,2025-08-11 03:05:00,17,3,0,0,0,1,4,5,1,0,3,0,0,0,0,0,0,3,14,0,,,,2025-08-11 03:05:00
G000551003000310010,G000551003000410010,,2025-08-11 03:10:00,13,4,0,0,0,2,2,2,0,0,3,0,0,0,0,0,0,4,9,0,,,,2025-08-11 03:10:00
G000551003000310010,G000551003000410010,,2025-08-11 03:15:00,10,6,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,6,4,0,,,,2025-08-11 03:15:00
G000551003000310010,G000551003000410010,,2025-08-11 03:20:00,10,3,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,3,7,0,,,,2025-08-11 03:20:00
G000551003000310010,G000551003000410010,,2025-08-11 03:25:00,12,4,0,0,0,1,2,1,1,1,2,0,0,0,0,0,0,4,8,0,,,,2025-08-11 03:25:00
G000551003000310010,G000551003000410010,,2025-08-11 03:30:00,17,8,0,0,0,0,0,5,0,0,4,0,0,0,0,0,0,8,9,0,,,,2025-08-11 03:30:00
G000551003000310010,G000551003000410010,,2025-08-11 03:35:00,12,4,0,0,0,2,1,2,2,0,1,0,0,0,0,0,0,4,8,0,,,,2025-08-11 03:35:00
G000551003000310010,G000551003000410010,,2025-08-11 03:40:00,14,3,0,0,0,0,1,7,0,0,3,0,0,0,0,0,0,3,11,0,,,,2025-08-11 03:40:00
G000551003000310010,G000551003000410010,,2025-08-11 03:45:00,21,6,0,0,0,2,1,5,0,1,6,0,0,0,0,0,0,6,15,0,,,,2025-08-11 03:45:00
G000551003000310010,G000551003000410010,,2025-08-11 03:50:00,8,1,0,0,0,0,2,3,0,0,2,0,0,0,0,0,0,1,7,0,,,,2025-08-11 03:50:00
G000551003000310010,G000551003000410010,,2025-08-11 03:55:00,13,7,0,0,0,0,0,0,1,1,4,0,0,0,0,0,0,7,6,0,,,,2025-08-11 03:55:00
G000551003000320010,G000551003000220010,,2025-08-11 03:00:00,5,1,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,1,4,0,,,,2025-08-11 03:00:00
G000551003000320010,G000551003000220010,,2025-08-11 03:05:00,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2,0,,,,2025-08-11 03:05:00
G000551003000320010,G000551003000220010,,2025-08-11 03:10:00,5,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,3,0,,,,2025-08-11 03:10:00
G000551003000320010,G000551003000220010,,2025-08-11 03:15:00,8,1,0,0,0,0,1,5,0,0,1,0,0,0,0,0,0,1,7,0,,,,2025-08-11 03:15:00
G000551003000320010,G000551003000220010,,2025-08-11 03:20:00,9,3,0,0,0,0,2,3,1,0,0,0,0,0,0,0,0,3,6,0,,,,2025-08-11 03:20:00
G000551003000320010,G000551003000220010,,2025-08-11 03:25:00,9,5,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,5,4,0,,,,2025-08-11 03:25:00
G000551003000320010,G000551003000220010,,2025-08-11 03:30:00,5,1,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,1,4,0,,,,2025-08-11 03:30:00
G000551003000320010,G000551003000220010,,2025-08-11 03:35:00,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,,2025-08-11 03:35:00
G000551003000320010,G000551003000220010,,2025-08-11 03:40:00,6,1,0,0,0,1,3,1,0,0,0,0,0,0,0,0,0,1,5,0,,,,2025-08-11 03:40:00
G000551003000320010,G000551003000220010,,2025-08-11 03:45:00,12,1,0,0,0,0,5,5,0,0,0,1,0,0,0,0,0,1,10,1,,,,2025-08-11 03:45:00
G000551003000320010,G000551003000220010,,2025-08-11 03:50:00,7,2,0,0,0,0,3,1,1,0,0,0,0,0,0,0,0,2,5,0,,,,2025-08-11 03:50:00
G000551003000320010,G000551003000220010,,2025-08-11 03:55:00,6,2,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,2,4,0,,,,2025-08-11 03:55:00
G000551003000410010,G000551003000510010,,2025-08-11 03:00:00,10,1,0,0,0,1,2,1,2,0,3,0,0,0,0,0,0,1,9,0,,,,2025-08-11 03:00:00
G000551003000410010,G000551003000510010,,2025-08-11 03:05:00,16,3,0,0,0,3,0,6,1,1,2,0,0,0,0,0,0,3,13,0,,,,2025-08-11 03:05:00
G000551003000410010,G000551003000510010,,2025-08-11 03:10:00,9,2,0,0,0,1,0,2,0,0,4,0,0,0,0,0,0,2,7,0,,,,2025-08-11 03:10:00
G000551003000410010,G000551003000510010,,2025-08-11 03:15:00,15,3,0,0,0,1,5,4,1,0,1,0,0,0,0,0,0,3,12,0,,,,2025-08-11 03:15:00
G000551003000410010,G000551003000510010,,2025-08-11 03:20:00,13,6,0,0,0,0,1,3,0,0,3,0,0,0,0,0,0,6,7,0,,,,2025-08-11 03:20:00
G000551003000410010,G000551003000510010,,2025-08-11 03:25:00,11,6,0,0,0,0,1,1,1,0,2,0,0,0,0,0,0,6,5,0,,,,2025-08-11 03:25:00
G000551003000410010,G000551003000510010,,2025-08-11 03:30:00,10,1,0,0,0,1,1,3,0,0,4,0,0,0,0,0,0,1,9,0,,,,2025-08-11 03:30:00
G000551003000410010,G000551003000510010,,2025-08-11 03:35:00,14,10,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,10,4,0,,,,2025-08-11 03:35:00
G000551003000410010,G000551003000510010,,2025-08-11 03:40:00,18,4,0,0,0,1,1,6,1,0,5,0,0,0,0,0,0,4,14,0,,,,2025-08-11 03:40:00
G000551003000410010,G000551003000510010,,2025-08-11 03:45:00,9,3,0,0,0,1,1,3,1,0,0,0,0,0,0,0,0,3,6,0,,,,2025-08-11 03:45:00
G000551003000410010,G000551003000510010,,2025-08-11 03:50:00,23,6,0,0,0,3,1,8,0,0,5,0,0,0,0,0,0,6,17,0,,,,2025-08-11 03:50:00
G000551003000410010,G000551003000510010,,2025-08-11 03:55:00,12,3,0,0,0,1,0,3,0,1,4,0,0,0,0,0,0,3,9,0,,,,2025-08-11 03:55:00
G000551003000420010,G000551003000320010,,2025-08-11 03:00:00,4,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,2,0,,,,2025-08-11 03:00:00
G000551003000420010,G000551003000320010,,2025-08-11 03:05:00,9,2,0,0,0,0,1,5,0,0,1,0,0,0,0,0,0,2,7,0,,,,2025-08-11 03:05:00
