gantry_id,interval_start,total_flow,k1,k2,k3,k4,h1,h2,h3,h4,h5,h6
G000551002000110010,480,37,22,0,0,0,2,2,3,0,1,7
G000551002000110010,485,33,15,0,0,0,2,4,3,0,1,8
G000551002000110010,490,40,26,0,0,0,3,1,2,0,2,6
G000551002000110010,495,37,16,0,0,0,1,0,7,1,1,11
G000551002000110010,500,33,22,0,0,0,2,1,4,0,0,4
G000551002000110010,505,40,21,0,1,0,4,3,3,3,0,5
G000551002000110010,510,60,35,0,3,0,4,2,5,0,1,10
G000551002000110010,515,47,26,0,0,1,4,2,6,1,0,7
G000551002000110010,520,49,23,0,0,0,3,4,7,0,0,12
G000551002000110010,525,49,32,0,0,0,3,1,5,0,1,7
G000551002000110010,530,40,22,0,0,0,4,2,2,1,0,9
G000551002000110010,535,44,26,0,0,0,3,1,7,1,0,6
G000551002000210010,480,38,22,0,0,0,0,2,6,0,2,6
G000551002000210010,485,47,33,0,1,0,1,2,3,0,1,6
G000551002000210010,490,50,29,0,0,0,4,4,4,0,0,9
G000551002000210010,495,48,31,0,1,0,4,1,2,0,3,6
G000551002000210010,500,52,27,0,0,0,3,0,8,1,1,12
G000551002000210010,505,48,35,0,1,0,2,1,4,0,0,5
G000551002000210010,510,42,23,0,1,0,4,2,3,3,0,6
G000551002000210010,515,74,48,0,3,0,4,2,6,0,1,10
G000551002000210010,520,47,28,0,0,1,3,1,7,1,0,6
G000551002000210010,525,60,33,0,1,0,3,3,9,0,0,11
G000551002000210010,530,63,44,0,0,0,4,1,5,0,1,8
G000551002000210010,535,50,32,0,0,0,5,2,1,1,0,9
G000551002000220010,480,26,15,0,0,0,1,3,7,0,0,0
G000551002000220010,485,30,16,0,0,0,1,4,6,0,1,2
G000551002000220010,490,21,16,0,0,0,2,0,2,0,1,0
G000551002000220010,495,48,25,0,0,1,2,4,13,2,0,1
G000551002000220010,500,42,19,1,0,0,4,9,9,0,0,0
G000551002000220010,505,31,14,0,1,1,1,4,9,0,0,1
G000551002000220010,510,31,24,0,1,0,2,3,1,0,0,0
G000551002000220010,515,35,20,1,0,0,1,4,8,1,0,0
G000551002000220010,520,29,19,0,0,0,1,2,7,0,0,0
G000551002000220010,525,53,38,0,1,0,2,7,3,0,0,2
G000551002000220010,530,46,29,0,0,0,2,4,11,0,0,0
G000551002000220010,535,43,25,0,2,0,6,3,6,0,0,1
G000551002000310010,480,40,20,0,0,0,4,5,7,0,0,4
G000551002000310010,485,41,24,1,0,0,3,4,5,0,0,4
G000551002000310010,490,36,23,0,1,0,3,0,3,1,0,5
G000551002000310010,495,40,22,0,0,0,0,5,4,1,1,7
G000551002000310010,500,41,23,0,1,0,5,2,3,0,0,7
G000551002000310010,505,28,16,0,0,0,2,1,3,0,0,6
G000551002000310010,510,45,22,0,0,0,2,3,8,1,2,7
G000551002000310010,515,39,25,0,0,0,1,1,3,1,1,7
G000551002000310010,520,44,27,0,0,0,1,3,1,1,2,9
G000551002000310010,525,33,22,0,0,0,1,3,0,1,0,6
G000551002000310010,530,43,19,0,0,1,4,1,7,0,1,10
G000551002000310010,535,61,40,0,1,0,4,2,7,0,0,7
G000551002000320010,480,35,18,0,0,0,2,4,10,0,0,1
G000551002000320010,485,46,23,1,0,0,3,9,10,0,0,0
G000551002000320010,490,31,18,0,0,0,1,2,8,0,0,2
G000551002000320010,495,16,11,0,0,1,0,3,1,0,0,0
G000551002000320010,500,41,25,0,1,0,2,5,7,1,0,0
G000551002000320010,505,27,16,0,0,0,2,1,7,0,0,1
G000551002000320010,510,44,33,0,0,0,1,6,3,0,0,1
G000551002000320010,515,47,30,0,1,0,2,3,11,0,0,0
G000551002000320010,520,40,22,0,0,0,2,7,8,0,0,1
G000551002000320010,525,45,24,0,1,0,4,6,8,2,0,0
G000551002000320010,530,32,27,0,0,0,2,2,1,0,0,0
G000551002000320010,535,38,20,0,2,1,2,8,5,0,0,0
G000551003000110010,480,37,12,0,0,0,5,6,9,1,1,3
G000551003000110010,485,37,13,0,0,0,2,3,9,2,0,8
G000551003000110010,490,45,18,0,0,0,2,1,11,1,1,11
G000551003000110010,495,34,11,0,0,0,2,2,14,0,0,5
G000551003000110010,500,36,13,2,0,0,3,1,10,0,0,7
G000551003000110010,505,41,14,0,0,0,2,7,17,0,0,1
G000551003000110010,510,42,20,0,0,0,2,0,13,2,0,5
G000551003000110010,515,37,17,0,0,0,2,2,11,0,1,4
G000551003000110010,520,26,6,0,0,0,3,3,6,1,0,7
G000551003000110010,525,40,17,0,0,0,4,1,13,0,0,5
G000551003000110010,530,44,20,0,0,0,0,3,12,1,3,5
