toll_station_id,station_name,route_code,section_code,longitude,latitude,entrance_exit,square_code,taz_id,remarks
246,江油收费站,G4202,G4202002,104.734567,31.765432,entrance,G42015100200801010,G42015100200801010,入口广场1
246,江油收费站,G4202,G4202002,104.735678,31.766543,entrance,G42015100200801020,G42015100200801020,入口广场2
247,贯山收费站,G4202,G4202002,104.856789,31.876543,entrance,G42015100200901010,G42015100200901010,
249,江油北收费站,G4202,G4202002,104.678901,31.987654,entrance,G42015100201001010,G42015100201001010,
250,厚坝收费站,G4202,G4202002,105.123456,32.098765,entrance,G42015100201101010,G42015100201101010,
255,二郎庙收费站,G4202,G4202002,105.234567,32.109876,entrance,G42015100201201010,G42015100201201010,
225,绵阳南收费站,G4202,G4202001,104.654321,31.454321,entrance,G42015100100701010,G42015100100701010,
24,锦城湖收费站,G4202,G4202001,104.043290,30.574796,entrance,G42015100100501010,G42015100100501010,入口成都方向
24,锦城湖收费站,G4202,G4202001,104.043515,30.569610,entrance,G42015100100501020,G42015100100501020,入口绵阳方向
39,成金收费站,G4202,G4202001,104.191135,30.739931,entrance,G42015100100201010,G42015100100201010,
40,成龙收费站,G4202,G4202001,104.159114,30.580706,entrance,G42015100100301010,G42015100100301010,
