id,report_id,类型,开始时间,结束时间,发生地点,车道方向,占用车道情况,所在高速公路,伤亡情况,管控措施,上下行,junction_id,edge_id,inc_lanes,int_lanes,管控开始时间,管控结束时间,管控收费站,管控范围,详细信息,匹配地点
1,12547,交通事故,2025-07-14 01:53:49,2025-07-14 03:22:39,1576.0,广元至绵阳方向,应急车道,G5京昆高速（绵广段）,暂无人员伤亡,,下行,-35882,-4688,-3898_0 -3898_1,:-35882_0_0 :-35882_0_1,,,,,"【交通事故首报】2025/7/14 1:53:49,接罗海燕报：京昆高速绵广段广元至绵阳方向K1576+000发生一起两货车追尾事故，占用应急车道，目前无人员伤亡，已通知高速交警,执法,路维到场处置,该事件为未达4级事件。",
2,12557,交通事故,2025-07-14 09:33:52,2025-07-14 09:42:47,1822.85,成都至雅安方向,应急车道,G5京昆高速（成雅段）,暂无人员伤亡,,上行,-49209,-1024,-8858_0 -8858_1 -8858_2,,,,,,"【交通事故首报】2025/7/14 9:33:52,接李春晖报：京昆高速成雅段成都至雅安方向K1822+850发生一起单车自燃事故事故，占用应急车道，目前无人员伤亡，已通知高速交警,执法,路维,消防到场处置,该事件为未达4级事件。（7月12日16时45分，G5京昆高速成雅段，路管报：成都至雅安方向K1822+850处客车自燃（明火已扑灭），无人员伤亡，无路产损失，车上共20人（车主已联系转运），占用应急车，已通知相关部门前往处置）",
3,12565,交通事故,2025-07-14 20:37:16,2025-07-14 21:53:51,1564.0,广元至绵阳方向,第一车道,G5京昆高速（绵广段）,暂无人员伤亡,,下行,-62495,,-16412_0 -16412_1,:-62495_0_0 :-62495_1_0 :-62495_1_1,,,,,"【交通事故首报】2025/7/14 20:37:16,接江明芝报：京昆高速绵广段广元至绵阳方向K1564+000发生一起一辆小车和一辆货车发生擦挂，小车掉边沟事故，占用第一车道，目前无人员伤亡，已通知高速交警,执法,路维到场处置,该事件为未达4级事件。",
4,12574,交通事故,2025-07-15 12:44:26,2025-07-15 13:20:44,1922.7,成都至雅安方向,应急车道,G5京昆高速（成雅段）,受伤1人,,上行,-43758,-1318,-6784_0,:-43758_0_0 :-43758_1_0,,,,,"【交通事故首报】2025/7/15 12:44:26,接董霜报：京昆高速成雅段成都至雅安方向K1922+700发生一起两辆小车追尾事故，占用应急车道，目前造成0死亡1受伤，已通知高速交警,执法,路维到场处置,该事件为未达4级事件。2025年7月15日12时43分，G5京昆高速成雅段，高速公安四分局一大队报：成雅向K1922+700两辆小车追尾，一人轻微伤，事故车都已移至应急车道，已通知执法、路管队前往处置。",
5,12575,交通事故,2025-07-15 12:48:57,2025-07-15 14:24:53,1558.4,广元至绵阳方向,"第二车道,应急车道",G5京昆高速（绵广段）,暂无人员伤亡,,下行,-51354,-2046,-9864_0 -9864_1,:-51354_0_0 :-51354_0_1,,,,,"【交通事故首报】2025/7/15 12:48:57,接姚娟报：京昆高速绵广段广元至绵阳方向K1558+400发生一起两辆货车追尾事故，占用第二车道,应急车道，目前无人员伤亡，已通知高速交警,执法,路维到场处置,该事件为未达4级事件。",
6,12583,交通事故,2025-07-15 17:00:58,2025-07-15 17:41:46,1707.0,绵阳至成都方向,第二车道,G5京昆高速（成绵段）,暂无人员伤亡,,下行,-35679,-3828,-17018_0 -17018_1,:-35679_0_0 :-35679_0_1,2025-07-15 17:01:00,,"213,214",,"【交通事故首报】2025/7/15 17:00:58,接杨国韬报：京昆高速成绵段绵阳至成都方向K1707+000发生一起单车撞护栏事故，占用第二车道，目前无人员伤亡，已通知高速交警,路维到场处置,该事件为未达4级事件。",
7,12585,交通事故,2025-07-15 01:21:00,2025-07-15 18:03:33,1710.0,绵阳至成都方向,应急车道,G5京昆高速（成绵段）,死亡1人,,下行,-43032,-6506,-6506_0 -6506_1,:-43032_0_0 :-43032_0_1,,,,,【交通事故】2025年7月15日1时21分，G5京昆高速成绵段，绵阳至成都方向1710Km，小车撞到障碍物，1时29分，120、高速交警、路管队、工程部、殡仪馆陆续到达现场，无法确认障碍物是否是人（待法医鉴定），事故车上无人受伤，3时42分处理毕，历时2小时21分钟。16时20分，经高速交警确认：撞到的障碍物确实是人。,
8,12587,交通事故,2025-07-15 21:46:34,2025-07-15 23:08:59,1846.0,成都至雅安方向,应急车道,G5京昆高速（成雅段）,受伤1人,,上行,4529169654,-2000000059,-2000000310_0 -2000000310_1,:4529169654_0_0 :4529169654_0_1,,,,,"【交通事故首报】2025/7/15 21:46:34,接张萌报：京昆高速成雅段成都至雅安方向K1846+000发生一起三小车事故事故，占用应急车道，目前造成0死亡1受伤，已通知高速交警,执法,路维,急救到场处置,该事件为未达4级事件。（2025年7月15日21时43分，G5京昆高速成雅段，司机报：雅成向，青龙枢纽附近发生三辆小车交通事故，有1人伤（已通知120），占用应急车道，现场无阻断，已通知高交、执法、路管前往处置。）",
9,12609,交通事故,2025-07-17 05:55:24,2025-07-17 10:25:23,1594.0,广元至绵阳方向,第一车道,G5京昆高速（绵广段）,暂无人员伤亡,,下行,-38283,,-13320#1_0 -13320#1_1 -4788#3_0 -4788#3_1,:-38283_0_0 :-38283_0_1 :-38283_2_0 :-38283_2_1,2025-07-17 06:47:00,,,,"【交通事故首报】2025/7/17 5:55:24,接姚娟报：京昆高速绵广段广元至绵阳方向K1594+000发生一起货车单车事故事故，占用第一车道，目前无人员伤亡，已通知高速交警,执法,路维到场处置,该事件为未达4级事件。",
10,12629,交通管制,2025-07-17 19:35:02,2025-07-17 20:24:58,1618.39,绵阳至广元方向,,G5京昆高速（绵广段）,,因大雨天气，现小溪坝站、厚坝站入口广元方向封闭,上行,-40061,-12700,-12708_0 -12708_1,:-40061_0_0 :-40061_0_1,2025-07-17 19:35:00,,"250,255",小溪坝站 到 厚坝站,"【交通管制首报】2025/7/17 19:35:02，接汪燕莎报：因大雾雷雨天气，京昆高速绵广段小溪坝站至厚坝站路段交通管制，小溪坝站、厚坝站入口广元方向封闭，,预计1小时后解除。",
