id,report_id,类型,开始时间,结束时间,发生地点,车道方向,占用车道情况,所在高速公路,伤亡情况,管控措施,上下行,junction_id,edge_id,inc_lanes,int_lanes,管控开始时间,管控结束时间,管控收费站,管控范围,详细信息,匹配地点
6,12583,交通事故,2025-07-15 17:00:58,2025-07-15 17:41:46,1707.0,绵阳至成都方向,第二车道,G5京昆高速（成绵段）,暂无人员伤亡,,下行,-35679,-3828,-17018_0 -17018_1,:-35679_0_0 :-35679_0_1,2025-07-15 17:01:00,,"213,214",,"【交通事故首报】2025/7/15 17:00:58,接杨国韬报：京昆高速成绵段绵阳至成都方向K1707+000发生一起单车撞护栏事故，占用第二车道，目前无人员伤亡，已通知高速交警,路维到场处置,该事件为未达4级事件。",
9,12609,交通事故,2025-07-17 05:55:24,2025-07-17 10:25:23,1594.0,广元至绵阳方向,第一车道,G5京昆高速（绵广段）,暂无人员伤亡,,下行,-38283,,-13320#1_0 -13320#1_1 -4788#3_0 -4788#3_1,:-38283_0_0 :-38283_0_1 :-38283_2_0 :-38283_2_1,2025-07-17 06:47:00,,,,"【交通事故首报】2025/7/17 5:55:24,接姚娟报：京昆高速绵广段广元至绵阳方向K1594+000发生一起货车单车事故事故，占用第一车道，目前无人员伤亡，已通知高速交警,执法,路维到场处置,该事件为未达4级事件。",
10,12629,交通管制,2025-07-17 19:35:02,2025-07-17 20:24:58,1618.39,绵阳至广元方向,,G5京昆高速（绵广段）,,因大雨天气，现小溪坝站、厚坝站入口广元方向封闭,上行,-40061,-12700,-12708_0 -12708_1,:-40061_0_0 :-40061_0_1,2025-07-17 19:35:00,,"250,255",小溪坝站 到 厚坝站,"【交通管制首报】2025/7/17 19:35:02，接汪燕莎报：因大雾雷雨天气，京昆高速绵广段小溪坝站至厚坝站路段交通管制，小溪坝站、厚坝站入口广元方向封闭，,预计1小时后解除。",
11,12637,交通管制,2025-07-17 23:21:36,2025-07-18 00:32:36,1618.39,双向方向,,G5京昆高速（绵广段）,,因大雨天气，现小溪坝站入口广元方向、厚坝站、二郎庙站入口封闭。,双向,-40061|-36508,-12700,-12708_0 -12708_1,:-40061_0_0 :-40061_0_1,2025-07-17 23:25:00,,"250,255,256",小溪坝站 到 二郎庙站,"【交通管制首报】2025/7/17 23:21:36，接汪燕莎报：因大雾雷雨天气，京昆高速绵广段小溪坝站至二郎庙站路段交通管制小溪坝站入口广元方向，二郎庙站，厚坝站，入口关闭，,预计1小时后解除。",
15,12817,交通事故,2025-07-19 06:42:59,2025-07-19 12:07:39,1767.2,绵阳至成都方向,"应急车道,第二车道",G5京昆高速（成绵段）,暂无人员伤亡,新都北站入口成都方向关闭,下行,-39216,-3000000074,-14784_0,:-39216_0_0 :-39216_1_0,2025-07-19 06:44:00,,601,,"【交通事故首报】2025/7/19 6:42:59,接岳秋报：京昆高速成绵段绵阳至成都方向K1767+200发生一起两货车追尾，其中一车侧翻事故，占用应急车道,第二车道，目前无人员伤亡，已通知高速交警,路维到场处置新都北站入口成都方向关闭,该事件为未达4级事件。",
26,13156,交通阻塞,2025-07-23 10:50:23,2025-07-23 11:03:25,1593.0,广元至绵阳方向,,G5京昆高速（绵广段）,,因交通管制需要，现主线广绵向K1593（辛家沟隧道入口）道路封闭。,下行,-38280,-4786#2,-4786#1_0 -4786#1_1,:-38280_0_0 :-38280_0_1,2025-07-23 10:51:00,,,,"【交通阻塞首报】2025/7/23 10:50:23,接任良秀报：京昆高速绵广段广元至绵阳方向K1593+000处发生一起高速交警通知非事故非施工抢险原因交通管制，因交通管制需要，现主线广绵向K1593（辛家沟隧道入口）道路封闭。已通知高速交警,执法,路维察看原因并进行疏导。",
30,13169,交通阻塞,2025-07-23 14:42:47,2025-07-23 16:07:45,1567.0,广元至绵阳方向,,G5京昆高速（绵广段）,,因供电部门处置K1572-K1574跨高速公路高压电线，现金子山站入口封闭、主线广绵向K1567、绵广向K1576道路封闭。,下行,-38174,,-9260_0 -9260_1,:-38174_0_0 :-38174_0_1,2025-07-23 14:43:00,,,,"【交通阻塞首报】2025/7/23 14:42:47,接任良秀报：京昆高速绵广段广元至绵阳方向K1567+000处发生一起高速交警通知非事故非施工抢险原因交通管制，因供电部门处置K1572-K1574跨高速公路高压电线，现金子山站入口封闭、主线广绵向K1567、绵广向K1576道路封闭。已通知高速交警,执法,路维察看原因并进行疏导。",
31,13229,交通管制,2025-07-23 21:13:08,2025-07-23 23:58:28,1618.39,绵阳至广元方向,,G5京昆高速（绵广段）,,因大雨天气，现小溪坝站至二郎庙站入口广元方向封闭。,上行,-40061,-12700,-12708_0 -12708_1,:-40061_0_0 :-40061_0_1,2025-07-23 21:13:00,,"250,255,256,246,244,243,236,225",绵阳南站 到,"【交通管制首报】2025/7/23 21:13:08，接姜春蓉报：因大雾雷雨天气，京昆高速绵广段小溪坝站至二郎庙站路段交通管制二郎庙站，厚坝站，小溪坝站入口广元方向关闭,预计1小时后解除。",
32,13252,交通事故,2025-07-24 06:01:28,2025-07-24 07:57:51,1602.0,广元至绵阳方向,"第一车道,第二车道,第三车道",G5京昆高速（绵广段）,暂无人员伤亡,,下行,-27161,,-1470_0 -1470_1,:-27161_0_0 :-27161_0_1,2025-07-24 07:49:00,,,,"【交通事故首报】2025/7/24 6:01:28,接姜春蓉报：京昆高速绵广段广元至绵阳方向K1602+000发生一起两货车追尾事故，占用第一车道,第二车道,第三车道，目前无人员伤亡，已通知高速交警,执法,路维到场处置,该事件为未达4级事件。",
33,13254,交通事故,2025-07-24 06:33:58,2025-07-24 07:35:57,1600.0,广元至绵阳方向,"第一车道,第二车道,第三车道",G5京昆高速（绵广段）,暂无人员伤亡,主线广绵向K1602道路中断，金子山入口成都封闭。,下行,-27161,,-1470_0 -1470_1,:-27161_0_0 :-27161_0_1,2025-07-24 06:34:00,2025-07-24 07:36:00,258,,"【交通事故首报】2025/7/24 6:33:58,接姜春蓉报：京昆高速绵广段广元至绵阳方向K1600+000发生一起两货车追尾事故，占用第一车道,第二车道,第三车道，目前无人员伤亡，已通知高速交警,执法,路维到场处置主线广绵向K1602道路中断，金子山入口成都封闭。该事件为未达4级事件。",
