report_id,event_type,has_station,has_measure,has_start_time,control_station,control_measure,control_start,control_end,control_range
12817,交通事故,True,True,True,601,新都北站入口成都方向关闭,2025-07-19 06:44:00,,
13254,交通事故,True,True,True,258,主线广绵向K1602道路中断，金子山入口成都封闭。,2025-07-24 06:34:00,2025-07-24 07:36:00,
13270,交通管制,True,True,True,"225,236",因大雨天气，现绵阳南站入口广元方向、绵阳站入口成都方向封闭。,2025-07-24 16:49:00,,绵阳南站 到 绵阳站
13703,交通事故,True,True,True,246,因处置该事故，现江油站入口广元方向封闭。,2025-08-02 12:20:00,,
13707,交通事故,True,True,True,236,因处置该事故，绵阳站入口广元方向封闭。,2025-08-02 15:00:00,,
14074,交通事故,True,True,True,"255,250,249,247",绵广向K1593一辆运输百货的两轴货车侧翻，无人员受伤，占用主车道及应急车道，因处置该事故，江油站至厚坝站入口广元方向封闭。,2025-08-08 17:37:00,,
14588,交通事故,True,True,True,"246,247,249,250,255",江油站至厚坝站入口广元方向封闭。,2025-08-11 18:03:00,,
14702,交通管制,True,True,True,"244,243",因大雨天气，现绵阳北站至科学城站入口广元方向封闭。,2025-08-15 21:16:00,2025-08-15 21:50:00,绵阳北站 到 科学城站
15556,交通事故,True,True,True,"601,202",新都、新都北站入口绵阳至成都方向禁止通行,2025-08-27 13:50:00,,
15698,交通管制,True,True,True,"249,247,246,244",因大雨天气，现科学城站入口广元方向，江油站、贯山站入口，江油北站入口成都方向封闭。,2025-08-28 22:51:00,,科学城站 到 江油北站
15945,交通管制,True,True,True,"202,206,208,601",关闭新都至广汉站入口,2025-09-05 10:57:00,,新都站 到 广汉站
16187,交通事故,True,True,True,"249,250,255,256",因处置绵广向K1584（官垭子隧道内）两车擦挂事故，现江油北站至二郎庙站入口广元方向封闭。,2025-09-10 11:00:00,,
16429,交通事故,True,True,True,"555,183",因处置瑞公山隧道交通事故，现关闭麻城站、摩尼站、赤水河站贵州至泸州方向入口、高桥服务区贵州至泸州方向出口,2025-09-13 06:47:00,,
16566,交通管制,True,True,True,"213,212,211,209,601,214,215",入口关闭,2025-09-16 09:00:00,,新都北站 到 金山站
16634,交通事故,True,True,True,621,由于K34+640（石家坝隧道）一辆两轴小货车发生侧翻单车事故，会理至德昌方向所有车辆均在益门收费站分流出站。益门收费站入口会理至德昌方向所有车辆禁止上站。,2025-09-16 18:20:00,,
16886,交通事故,True,True,True,"213,212,211,210,209",关闭德阳南至罗江入口（成都至绵阳方向）,2025-09-19 23:14:00,,
16887,交通事故,True,True,True,"213,212,211,210,209",关闭入口（成都至绵阳方向）,2025-09-20 01:22:00,,
16888,交通事故,True,True,True,"255,250,249,247,246,244",因处置该事故现科学城站至厚坝站入口成都方向封闭。,2025-09-20 06:11:00,,
17371,交通事故,True,True,True,"552,551,550",三轴及三轴以上货车（鲜活车除外），大件车、危化品车管制,2025-10-01 08:00:00,,
17883,交通事故,True,True,True,"246,247,249,250,255",江油站至厚坝站入口成都方向封闭。,2025-10-11 19:54:00,2025-10-11 20:04:00,
18071,交通事故,True,True,True,550,护国站入口关闭,2025-10-21 01:13:00,,
18117,交通事故,True,True,True,",258,256,255,250,249,247,246",绵阳至广元方向1552公里处道路中断,2025-10-24 05:01:00,,
10748,交通事故,True,True,True,537,石棉站管制西昌方向所有车辆,2025-06-10 06:26:00,2025-06-10 06:37:00,
10818,交通阻塞,True,True,True,"256,255,250,249,247,246",因主线车流量大，现主线绵广向K1602道路封闭，江油站至二郎庙站入口广元方向封闭。,2025-06-13 18:20:00,,
10850,交通管制,True,True,True,"774,770,761,621,580",已通知路政、执法、高交，养护处理，路段无管制,2025-06-14 18:00:00,2025-06-15 18:00:00,老碾收费站 到 会理收费站
10856,交通管制,True,True,True,"506,505",因天气预警响应需要，蒲坝站、永郎站入口（双向）所有车辆不能上站，恢复时间待定。,2025-06-14 23:50:00,2025-06-15 09:00:00,德昌站 到 永郎站
10865,交通管制,True,True,True,"507,508,509",该路段有暴雨橙色预警，目前暂无管制,2025-06-15 00:35:00,2025-06-15 23:00:00,白马站 到 撒莲站
