id,report_id,类型,开始时间,结束时间,发生地点,车道方向,占用车道情况,所在高速公路,伤亡情况,管控措施,上下行,junction_id,edge_id,inc_lanes,int_lanes,管控开始时间,管控结束时间,管控收费站,管控范围,详细信息,匹配地点,failure_reason_en,mapping_suggestion
6,12583,交通事故,2025-07-15 17:00:58,2025-07-15 17:41:46,1707.0,绵阳至成都方向,第二车道,G5京昆高速（成绵段）,暂无人员伤亡,,下行,-35679,-3828,-17018_0 -17018_1,:-35679_0_0 :-35679_0_1,2025-07-15 17:01:00,,"213,214",,"【交通事故首报】2025/7/15 17:00:58,接杨国韬报：京昆高速成绵段绵阳至成都方向K1707+000发生一起单车撞护栏事故，占用第二车道，目前无人员伤亡，已通知高速交警,路维到场处置,该事件为未达4级事件。",,Lane Resolution Error - edge/lane mismatch in network file,
20,13031,交通事故,2025-07-21 05:37:00,2025-07-21 07:56:07,1821.0,纳溪至贵州方向,第二车道,G76厦蓉高速（纳黔段）,受伤1人,,上行,-39758,-1580,-17362_0,:-39758_0_0,,,,,"【交通事故首报】2025/7/21 5:37:00,接李小玲报：厦蓉高速纳黔段纳溪至贵州方向K1821+000发生一起2车追尾（小车：1辆，两轴货车：1辆）事故，占用第二车道，目前造成0死亡1受伤，已通知高速交警,执法,路维,急救到场处置,该事件为未达4级事件。",,Lane Resolution Error - edge/lane mismatch in network file,
48,13663,交通事故,2025-08-01 08:17:53,2025-08-01 09:40:24,2222.0,泸沽至黄联关方向,第三车道,G5京昆高速（泸黄段）,暂无人员伤亡,,上行,-51721,-1694,-9776_0,:-51721_0_0,,,,,"【交通事故首报】2025/8/1 8:17:53,接刘波报：京昆高速泸黄段泸沽至黄联关方向K2222+000发生一起两车发生擦挂事故，占用第三车道，目前无人员伤亡，已通知高速交警,执法,路维到场处置,该事件为未达4级事件。",,Lane Resolution Error - edge/lane mismatch in network file,
54,13748,交通事故,2025-08-04 08:06:09,2025-08-04 10:24:04,182.2,外环方向方向,第一车道,SA2成都第二绕城高速（西段）,受伤1人,,下行,-52302,-17066,-10280_0,:-52302_0_0,,,,,"【交通事故首报】2025/8/4 8:06:09,接曾英报：成都二绕高速(西)外环方向方向K182+200发生一起小车单车事故，占用第一车道，目前造成0死亡1受伤，已通知高速交警,执法,路维,急救到场处置,该事件为未达4级事件。",,Lane Resolution Error - edge/lane mismatch in network file,
58,13779,交通事故,2025-08-05 16:19:29,2025-08-05 17:16:53,1552.6,绵阳至广元方向,第二车道,G5京昆高速（绵广段）,暂无人员伤亡,,上行,-28279,-11078,-9930_0 -9930_1,:-28279_0_0 :-28279_0_1,,,,,"【交通事故首报】2025/8/5 16:19:29,接汪燕莎报：京昆高速绵广段绵阳至广元方向K1552+600发生一起三小车追尾事故，占用第二车道，目前无人员伤亡，已通知高速交警,执法,路维到场处置,该事件为未达4级事件。",,Lane Resolution Error - edge/lane mismatch in network file,
65,14074,交通事故,2025-08-08 17:36:41,2025-08-08 19:34:20,1593.0,绵阳至广元方向,"第二车道,第三车道",G5京昆高速（绵广段）,暂无人员伤亡,绵广向K1593一辆运输百货的两轴货车侧翻，无人员受伤，占用主车道及应急车道，因处置该事故，江油站至厚坝站入口广元方向封闭。,上行,-58810,-4786#2,-12804_0 -12804_1,:-58810_0_0 :-58810_0_1,2025-08-08 17:37:00,,"255,250,249,247",,"【交通事故首报】2025/8/8 17:36:41,接姜春蓉报：京昆高速绵广段绵阳至广元方向K1593+000发生一起货车侧翻事故事故，占用第二车道,第三车道，目前无人员伤亡，已通知高速交警,执法,路维到场处置绵广向K1593一辆运输百货的两轴货车侧翻，无人员受伤，占用主车道及应急车道，因处置该事故，江油站至厚坝站入口广元方向封闭。,该事件为未达4级事件。",,Lane Resolution Error - edge/lane mismatch in network file,
98,15556,交通事故,2025-08-27 13:49:51,2025-08-27 14:37:40,1777.3,绵阳至成都方向,第二车道,G5京昆高速（成绵段）,暂无人员伤亡,新都、新都北站入口绵阳至成都方向禁止通行,下行,-36514,-3000000327,-15336_0 -15336_1 -15336_2,:-36514_0_0 :-36514_0_1 :-36514_0_2,2025-08-27 13:50:00,,"601,202",,"【交通事故首报】2025/8/27 13:49:51,接黄欢报：京昆高速成绵段绵阳至成都方向K1777+300发生一起两货车追尾事故，占用第二车道，目前无人员伤亡，已通知高速交警,路维到场处置新都、新都北站入口绵阳至成都方向禁止通行,该事件为未达4级事件。",,Lane Resolution Error - edge/lane mismatch in network file,
131,16185,交通事故,2025-09-10 09:11:36,2025-09-10 09:59:00,149.0,内环方向方向,第一车道,SA2成都第二绕城高速（西段）,暂无人员伤亡,,上行,-51822,-3664,-9838_0 -9838_1 -9838_2,:-51822_0_0 :-51822_0_1 :-51822_0_2,,,,,"【交通事故首报】2025/9/10 9:11:36,接严巧燕报：成都二绕高速(西)内环方向方向K149+000发生一起小车单车事故事故，占用第一车道，目前无人员伤亡，已通知高速交警,执法,路维到场处置,该事件为未达4级事件。",,Lane Resolution Error - edge/lane mismatch in network file,
141,16426,交通事故,2025-09-12 19:01:55,2025-09-12 19:51:45,1773.0,贵州至纳溪方向,第二车道,G76厦蓉高速（纳黔段）,受伤1人,,双向,-26480|9540576135,-3000000386,-876_0 -876_1 -876_2,:-26480_0_0 :-26480_0_1 :-26480_0_2,2025-09-12 19:15:00,,"183,555",,"【交通事故首报】2025/9/12 19:01:55,接刘丹报：厦蓉高速纳黔段贵州至纳溪方向K1773+000发生一起小车单车事故事故，占用第二车道，目前造成0死亡1受伤，已通知高速交警,执法,路维到场处置,该事件为未达4级事件。",,Lane Resolution Error - edge/lane mismatch in network file,
151,16775,交通事故,2025-09-17 21:21:06,2025-09-17 22:10:13,1674.0,广元至绵阳方向,第二车道,G5京昆高速（绵广段）,暂无人员伤亡,,下行,-33995,-16050,-3276_0 -3276_1,:-33995_0_0 :-33995_0_1,2025-09-17 21:37:00,,",243",,"【交通事故首报】2025/9/17 21:21:06,接姜春蓉报：京昆高速绵广段广元至绵阳方向K1674+000发生一起小车追尾货车事故，占用第二车道，目前无人员伤亡，已通知高速交警,执法,路维,急救到场处置,该事件为未达4级事件。",,Lane Resolution Error - edge/lane mismatch in network file,
