id,report_id,类型,开始时间,结束时间,发生地点,车道方向,占用车道情况,所在高速公路,伤亡情况,管控措施,上下行,junction_id,edge_id,inc_lanes,int_lanes,管控开始时间,管控结束时间,管控收费站,管控范围,详细信息,匹配地点
400,06090700,流量激增,2025-06-09 07:00:00,2025-06-09 07:10:00,G420151001000110010,绕西货运大道站-绕东大件站门架,,G4202成都一绕高速,,,内环,,-13154,,,,,,,,
401,06170715,流量激增,2025-06-17 07:15:00,2025-06-17 07:40:00,G420151001000110010,绕西货运大道站-绕东大件站门架,,G4202成都一绕高速,,,内环,,-13154,,,,,,,,
402,06250900,流量激增,2025-06-25 09:00:00,2025-06-25 09:15:00,G420151001000110010,绕西货运大道站-绕东大件站门架,,G4202成都一绕高速,,,内环,,-13154,,,,,,,,
403,06270900,流量激增,2025-06-27 09:00:00,2025-06-27 09:10:00,G420151001000110010,绕西货运大道站-绕东大件站门架,,G4202成都一绕高速,,,内环,,-13154,,,,,,,,
404,07140900,流量激增,2025-07-14 09:00:00,2025-07-14 09:10:00,G420151001000110010,绕西货运大道站-绕东大件站门架,,G4202成都一绕高速,,,内环,,-13154,,,,,,,,
405,07150900,流量激增,2025-07-15 09:00:00,2025-07-15 09:10:00,G420151001000110010,绕西货运大道站-绕东大件站门架,,G4202成都一绕高速,,,内环,,-13154,,,,,,,,
406,07230905,流量激增,2025-07-23 09:05:00,2025-07-23 09:15:00,G420151001000110010,绕西货运大道站-绕东大件站门架,,G4202成都一绕高速,,,内环,,-13154,,,,,,,,
407,07281030,流量激增,2025-07-28 10:30:00,2025-07-28 10:40:00,G420151001000110010,绕西货运大道站-绕东大件站门架,,G4202成都一绕高速,,,内环,,-13154,,,,,,,,
408,08190855,流量激增,2025-08-19 08:55:00,2025-08-19 09:15:00,G420151001000110010,绕西货运大道站-绕东大件站门架,,G4202成都一绕高速,,,内环,,-13154,,,,,,,,
409,08250805,流量激增,2025-08-25 08:05:00,2025-08-25 08:15:00,G420151001000110010,绕西货运大道站-绕东大件站门架,,G4202成都一绕高速,,,内环,,-13154,,,,,,,,
410,08250900,流量激增,2025-08-25 09:00:00,2025-08-25 09:20:00,G420151001000110010,绕西货运大道站-绕东大件站门架,,G4202成都一绕高速,,,内环,,-13154,,,,,,,,
411,08270855,流量激增,2025-08-27 08:55:00,2025-08-27 09:05:00,G420151001000110010,绕西货运大道站-绕东大件站门架,,G4202成都一绕高速,,,内环,,-13154,,,,,,,,
412,09010900,流量激增,2025-09-01 09:00:00,2025-09-01 09:10:00,G420151001000110010,绕西货运大道站-绕东大件站门架,,G4202成都一绕高速,,,内环,,-13154,,,,,,,,
413,09041510,流量激增,2025-09-04 15:10:00,2025-09-04 15:20:00,G420151001000110010,绕西货运大道站-绕东大件站门架,,G4202成都一绕高速,,,内环,,-13154,,,,,,,,
414,06110900,流量激增,2025-06-11 09:00:00,2025-06-11 09:25:00,G420151001000120010,绕东大件站-绕西货运大道站门架,,G4202成都一绕高速,,,外环,,-11324.141,,,,,,,,
415,06121120,流量激增,2025-06-12 11:20:00,2025-06-12 11:35:00,G420151001000120010,绕东大件站-绕西货运大道站门架,,G4202成都一绕高速,,,外环,,-11324.141,,,,,,,,
416,06131935,流量激增,2025-06-13 19:35:00,2025-06-13 19:50:00,G420151001000120010,绕东大件站-绕西货运大道站门架,,G4202成都一绕高速,,,外环,,-11324.141,,,,,,,,
417,06150910,流量激增,2025-06-15 09:10:00,2025-06-15 09:20:00,G420151001000120010,绕东大件站-绕西货运大道站门架,,G4202成都一绕高速,,,外环,,-11324.141,,,,,,,,
418,06150945,流量激增,2025-06-15 09:45:00,2025-06-15 09:55:00,G420151001000120010,绕东大件站-绕西货运大道站门架,,G4202成都一绕高速,,,外环,,-11324.141,,,,,,,,
419,06200855,流量激增,2025-06-20 08:55:00,2025-06-20 09:10:00,G420151001000120010,绕东大件站-绕西货运大道站门架,,G4202成都一绕高速,,,外环,,-11324.141,,,,,,,,
420,06211550,流量激增,2025-06-21 15:50:00,2025-06-21 16:00:00,G420151001000120010,绕东大件站-绕西货运大道站门架,,G4202成都一绕高速,,,外环,,-11324.141,,,,,,,,
421,06220905,流量激增,2025-06-22 09:05:00,2025-06-22 09:20:00,G420151001000120010,绕东大件站-绕西货运大道站门架,,G4202成都一绕高速,,,外环,,-11324.141,,,,,,,,
422,06230905,流量激增,2025-06-23 09:05:00,2025-06-23 09:15:00,G420151001000120010,绕东大件站-绕西货运大道站门架,,G4202成都一绕高速,,,外环,,-11324.141,,,,,,,,
423,06260900,流量激增,2025-06-26 09:00:00,2025-06-26 09:10:00,G420151001000120010,绕东大件站-绕西货运大道站门架,,G4202成都一绕高速,,,外环,,-11324.141,,,,,,,,
424,06300905,流量激增,2025-06-30 09:05:00,2025-06-30 09:15:00,G420151001000120010,绕东大件站-绕西货运大道站门架,,G4202成都一绕高速,,,外环,,-11324.141,,,,,,,,
425,07100905,流量激增,2025-07-10 09:05:00,2025-07-10 09:15:00,G420151001000120010,绕东大件站-绕西货运大道站门架,,G4202成都一绕高速,,,外环,,-11324.141,,,,,,,,
426,07111925,流量激增,2025-07-11 19:25:00,2025-07-11 19:35:00,G420151001000120010,绕东大件站-绕西货运大道站门架,,G4202成都一绕高速,,,外环,,-11324.141,,,,,,,,
427,07120905,流量激增,2025-07-12 09:05:00,2025-07-12 09:15:00,G420151001000120010,绕东大件站-绕西货运大道站门架,,G4202成都一绕高速,,,外环,,-11324.141,,,,,,,,
428,07150900,流量激增,2025-07-15 09:00:00,2025-07-15 09:20:00,G420151001000120010,绕东大件站-绕西货运大道站门架,,G4202成都一绕高速,,,外环,,-11324.141,,,,,,,,
429,07180900,流量激增,2025-07-18 09:00:00,2025-07-18 09:20:00,G420151001000120010,绕东大件站-绕西货运大道站门架,,G4202成都一绕高速,,,外环,,-11324.141,,,,,,,,
430,07191630,流量激增,2025-07-19 16:30:00,2025-07-19 16:45:00,G420151001000120010,绕东大件站-绕西货运大道站门架,,G4202成都一绕高速,,,外环,,-11324.141,,,,,,,,
431,07211615,流量激增,2025-07-21 16:15:00,2025-07-21 16:30:00,G420151001000120010,绕东大件站-绕西货运大道站门架,,G4202成都一绕高速,,,外环,,-11324.141,,,,,,,,
432,07230900,流量激增,2025-07-23 09:00:00,2025-07-23 09:10:00,G420151001000120010,绕东大件站-绕西货运大道站门架,,G4202成都一绕高速,,,外环,,-11324.141,,,,,,,,
433,07250905,流量激增,2025-07-25 09:05:00,2025-07-25 09:20:00,G420151001000120010,绕东大件站-绕西货运大道站门架,,G4202成都一绕高速,,,外环,,-11324.141,,,,,,,,
434,07261300,流量激增,2025-07-26 13:00:00,2025-07-26 13:15:00,G420151001000120010,绕东大件站-绕西货运大道站门架,,G4202成都一绕高速,,,外环,,-11324.141,,,,,,,,
435,07261505,流量激增,2025-07-26 15:05:00,2025-07-26 15:20:00,G420151001000120010,绕东大件站-绕西货运大道站门架,,G4202成都一绕高速,,,外环,,-11324.141,,,,,,,,
436,07280955,流量激增,2025-07-28 09:55:00,2025-07-28 10:10:00,G420151001000120010,绕东大件站-绕西货运大道站门架,,G4202成都一绕高速,,,外环,,-11324.141,,,,,,,,
437,07310800,流量激增,2025-07-31 08:00:00,2025-07-31 08:10:00,G420151001000120010,绕东大件站-绕西货运大道站门架,,G4202成都一绕高速,,,外环,,-11324.141,,,,,,,,
438,07310905,流量激增,2025-07-31 09:05:00,2025-07-31 09:20:00,G420151001000120010,绕东大件站-绕西货运大道站门架,,G4202成都一绕高速,,,外环,,-11324.141,,,,,,,,
439,08010945,流量激增,2025-08-01 09:45:00,2025-08-01 09:55:00,G420151001000120010,绕东大件站-绕西货运大道站门架,,G4202成都一绕高速,,,外环,,-11324.141,,,,,,,,
440,08091005,流量激增,2025-08-09 10:05:00,2025-08-09 10:15:00,G420151001000120010,绕东大件站-绕西货运大道站门架,,G4202成都一绕高速,,,外环,,-11324.141,,,,,,,,
441,08140905,流量激增,2025-08-14 09:05:00,2025-08-14 09:20:00,G420151001000120010,绕东大件站-绕西货运大道站门架,,G4202成都一绕高速,,,外环,,-11324.141,,,,,,,,
442,08231410,流量激增,2025-08-23 14:10:00,2025-08-23 14:25:00,G420151001000120010,绕东大件站-绕西货运大道站门架,,G4202成都一绕高速,,,外环,,-11324.141,,,,,,,,
443,08250900,流量激增,2025-08-25 09:00:00,2025-08-25 09:15:00,G420151001000120010,绕东大件站-绕西货运大道站门架,,G4202成都一绕高速,,,外环,,-11324.141,,,,,,,,
444,08271715,流量激增,2025-08-27 17:15:00,2025-08-27 17:30:00,G420151001000120010,绕东大件站-绕西货运大道站门架,,G4202成都一绕高速,,,外环,,-11324.141,,,,,,,,
445,08281935,流量激增,2025-08-28 19:35:00,2025-08-28 19:50:00,G420151001000120010,绕东大件站-绕西货运大道站门架,,G4202成都一绕高速,,,外环,,-11324.141,,,,,,,,
446,08300915,流量激增,2025-08-30 09:15:00,2025-08-30 09:25:00,G420151001000120010,绕东大件站-绕西货运大道站门架,,G4202成都一绕高速,,,外环,,-11324.141,,,,,,,,
447,09030905,流量激增,2025-09-03 09:05:00,2025-09-03 09:15:00,G420151001000120010,绕东大件站-绕西货运大道站门架,,G4202成都一绕高速,,,外环,,-11324.141,,,,,,,,
448,09040900,流量激增,2025-09-04 09:00:00,2025-09-04 09:10:00,G420151001000120010,绕东大件站-绕西货运大道站门架,,G4202成都一绕高速,,,外环,,-11324.141,,,,,,,,
449,09041020,流量激增,2025-09-04 10:20:00,2025-09-04 10:35:00,G420151001000120010,绕东大件站-绕西货运大道站门架,,G4202成都一绕高速,,,外环,,-11324.141,,,,,,,,
450,06091810,流量激增,2025-06-09 18:10:00,2025-06-09 18:25:00,G420151001000220010,绕东成绵站-绕东大件站门架,,G4202成都一绕高速,,,外环,,-3162,,,,,,,,
451,06110900,流量激增,2025-06-11 09:00:00,2025-06-11 09:15:00,G420151001000220010,绕东成绵站-绕东大件站门架,,G4202成都一绕高速,,,外环,,-3162,,,,,,,,
452,06120900,流量激增,2025-06-12 09:00:00,2025-06-12 09:15:00,G420151001000220010,绕东成绵站-绕东大件站门架,,G4202成都一绕高速,,,外环,,-3162,,,,,,,,
453,06131940,流量激增,2025-06-13 19:40:00,2025-06-13 19:50:00,G420151001000220010,绕东成绵站-绕东大件站门架,,G4202成都一绕高速,,,外环,,-3162,,,,,,,,
454,06140905,流量激增,2025-06-14 09:05:00,2025-06-14 09:25:00,G420151001000220010,绕东成绵站-绕东大件站门架,,G4202成都一绕高速,,,外环,,-3162,,,,,,,,
455,06201930,流量激增,2025-06-20 19:30:00,2025-06-20 19:40:00,G420151001000220010,绕东成绵站-绕东大件站门架,,G4202成都一绕高速,,,外环,,-3162,,,,,,,,
456,06211940,流量激增,2025-06-21 19:40:00,2025-06-21 19:50:00,G420151001000220010,绕东成绵站-绕东大件站门架,,G4202成都一绕高速,,,外环,,-3162,,,,,,,,
457,06230900,流量激增,2025-06-23 09:00:00,2025-06-23 09:15:00,G420151001000220010,绕东成绵站-绕东大件站门架,,G4202成都一绕高速,,,外环,,-3162,,,,,,,,
458,06231025,流量激增,2025-06-23 10:25:00,2025-06-23 10:35:00,G420151001000220010,绕东成绵站-绕东大件站门架,,G4202成都一绕高速,,,外环,,-3162,,,,,,,,
459,06270900,流量激增,2025-06-27 09:00:00,2025-06-27 09:15:00,G420151001000220010,绕东成绵站-绕东大件站门架,,G4202成都一绕高速,,,外环,,-3162,,,,,,,,
460,06271130,流量激增,2025-06-27 11:30:00,2025-06-27 11:45:00,G420151001000220010,绕东成绵站-绕东大件站门架,,G4202成都一绕高速,,,外环,,-3162,,,,,,,,
461,06300905,流量激增,2025-06-30 09:05:00,2025-06-30 09:15:00,G420151001000220010,绕东成绵站-绕东大件站门架,,G4202成都一绕高速,,,外环,,-3162,,,,,,,,
462,07170900,流量激增,2025-07-17 09:00:00,2025-07-17 09:20:00,G420151001000220010,绕东成绵站-绕东大件站门架,,G4202成都一绕高速,,,外环,,-3162,,,,,,,,
463,07180905,流量激增,2025-07-18 09:05:00,2025-07-18 09:15:00,G420151001000220010,绕东成绵站-绕东大件站门架,,G4202成都一绕高速,,,外环,,-3162,,,,,,,,
464,07211935,流量激增,2025-07-21 19:35:00,2025-07-21 19:50:00,G420151001000220010,绕东成绵站-绕东大件站门架,,G4202成都一绕高速,,,外环,,-3162,,,,,,,,
465,08120905,流量激增,2025-08-12 09:05:00,2025-08-12 09:15:00,G420151001000220010,绕东成绵站-绕东大件站门架,,G4202成都一绕高速,,,外环,,-3162,,,,,,,,
466,08271710,流量激增,2025-08-27 17:10:00,2025-08-27 17:25:00,G420151001000220010,绕东成绵站-绕东大件站门架,,G4202成都一绕高速,,,外环,,-3162,,,,,,,,
467,08280950,流量激增,2025-08-28 09:50:00,2025-08-28 10:10:00,G420151001000220010,绕东成绵站-绕东大件站门架,,G4202成都一绕高速,,,外环,,-3162,,,,,,,,
468,08291435,流量激增,2025-08-29 14:35:00,2025-08-29 14:50:00,G420151001000220010,绕东成绵站-绕东大件站门架,,G4202成都一绕高速,,,外环,,-3162,,,,,,,,
469,09030910,流量激增,2025-09-03 09:10:00,2025-09-03 09:20:00,G420151001000220010,绕东成绵站-绕东大件站门架,,G4202成都一绕高速,,,外环,,-3162,,,,,,,,
470,09050845,流量激增,2025-09-05 08:45:00,2025-09-05 09:10:00,G420151001000220010,绕东成绵站-绕东大件站门架,,G4202成都一绕高速,,,外环,,-3162,,,,,,,,
471,09061425,流量激增,2025-09-06 14:25:00,2025-09-06 14:35:00,G420151001000220010,绕东成绵站-绕东大件站门架,,G4202成都一绕高速,,,外环,,-3162,,,,,,,,
472,06110900,流量激增,2025-06-11 09:00:00,2025-06-11 09:15:00,G420151001000410010,绕东成金站-绕东成南站门架,,G4202成都一绕高速,,,内环,,-10594,,,,,,,,
473,06140905,流量激增,2025-06-14 09:05:00,2025-06-14 09:15:00,G420151001000410010,绕东成金站-绕东成南站门架,,G4202成都一绕高速,,,内环,,-10594,,,,,,,,
474,06160635,流量激增,2025-06-16 06:35:00,2025-06-16 06:50:00,G420151001000410010,绕东成金站-绕东成南站门架,,G4202成都一绕高速,,,内环,,-10594,,,,,,,,
475,06220905,流量激增,2025-06-22 09:05:00,2025-06-22 09:15:00,G420151001000410010,绕东成金站-绕东成南站门架,,G4202成都一绕高速,,,内环,,-10594,,,,,,,,
476,06230900,流量激增,2025-06-23 09:00:00,2025-06-23 09:15:00,G420151001000410010,绕东成金站-绕东成南站门架,,G4202成都一绕高速,,,内环,,-10594,,,,,,,,
477,06251940,流量激增,2025-06-25 19:40:00,2025-06-25 19:50:00,G420151001000410010,绕东成金站-绕东成南站门架,,G4202成都一绕高速,,,内环,,-10594,,,,,,,,
478,06270905,流量激增,2025-06-27 09:05:00,2025-06-27 09:20:00,G420151001000410010,绕东成金站-绕东成南站门架,,G4202成都一绕高速,,,内环,,-10594,,,,,,,,
479,06280900,流量激增,2025-06-28 09:00:00,2025-06-28 09:15:00,G420151001000410010,绕东成金站-绕东成南站门架,,G4202成都一绕高速,,,内环,,-10594,,,,,,,,
480,07030905,流量激增,2025-07-03 09:05:00,2025-07-03 09:15:00,G420151001000410010,绕东成金站-绕东成南站门架,,G4202成都一绕高速,,,内环,,-10594,,,,,,,,
481,07040905,流量激增,2025-07-04 09:05:00,2025-07-04 09:15:00,G420151001000410010,绕东成金站-绕东成南站门架,,G4202成都一绕高速,,,内环,,-10594,,,,,,,,
482,07061410,流量激增,2025-07-06 14:10:00,2025-07-06 14:20:00,G420151001000410010,绕东成金站-绕东成南站门架,,G4202成都一绕高速,,,内环,,-10594,,,,,,,,
483,07081020,流量激增,2025-07-08 10:20:00,2025-07-08 10:30:00,G420151001000410010,绕东成金站-绕东成南站门架,,G4202成都一绕高速,,,内环,,-10594,,,,,,,,
484,07090900,流量激增,2025-07-09 09:00:00,2025-07-09 09:20:00,G420151001000410010,绕东成金站-绕东成南站门架,,G4202成都一绕高速,,,内环,,-10594,,,,,,,,
485,07111045,流量激增,2025-07-11 10:45:00,2025-07-11 10:55:00,G420151001000410010,绕东成金站-绕东成南站门架,,G4202成都一绕高速,,,内环,,-10594,,,,,,,,
486,07130905,流量激增,2025-07-13 09:05:00,2025-07-13 09:25:00,G420151001000410010,绕东成金站-绕东成南站门架,,G4202成都一绕高速,,,内环,,-10594,,,,,,,,
487,07210905,流量激增,2025-07-21 09:05:00,2025-07-21 09:20:00,G420151001000410010,绕东成金站-绕东成南站门架,,G4202成都一绕高速,,,内环,,-10594,,,,,,,,
488,08020905,流量激增,2025-08-02 09:05:00,2025-08-02 09:20:00,G420151001000410010,绕东成金站-绕东成南站门架,,G4202成都一绕高速,,,内环,,-10594,,,,,,,,
489,08090910,流量激增,2025-08-09 09:10:00,2025-08-09 09:25:00,G420151001000410010,绕东成金站-绕东成南站门架,,G4202成都一绕高速,,,内环,,-10594,,,,,,,,
490,08210905,流量激增,2025-08-21 09:05:00,2025-08-21 09:20:00,G420151001000410010,绕东成金站-绕东成南站门架,,G4202成都一绕高速,,,内环,,-10594,,,,,,,,
