id,report_id,类型,开始时间,结束时间,发生地点,车道方向,占用车道情况,所在高速公路,伤亡情况,管控措施,上下行,junction_id,edge_id,inc_lanes,int_lanes,管控开始时间,管控结束时间,管控收费站,管控范围,详细信息,匹配地点,开始时间_dt,结束时间_dt,duration_minutes,is_morning_peak
529,8210655,流量激增,2025-08-21 06:55:00,2025-08-21 07:25:00,G420151001000710010,绕东成渝站-绕东成龙站门架,,G4202成都一绕高速,,,外环,,-14840,,,,,,,,,2025-08-21 06:55:00,2025-08-21 07:25:00,30.0,False
536,6120705,流量激增,2025-06-12 07:05:00,2025-06-12 07:35:00,G420151001000810010,绕东成龙站-绕东天府国际机场站门架,,G4202成都一绕高速,,DHS（动态硬路肩开放）,内环,,-14078,,,2025-06-12 07:30:00,2025-06-12 09:30:00,,G4202南段K20-K40（硬路肩开放）,,,2025-06-12 07:05:00,2025-06-12 07:35:00,30.0,True
547,7180720,流量激增,2025-07-18 07:20:00,2025-07-18 07:50:00,G420151001000810010,绕东成龙站-绕东天府国际机场站门架,,G4202成都一绕高速,,DHS（动态硬路肩开放）,内环,,-14078,,,2025-07-18 07:30:00,2025-07-18 09:30:00,,G4202南段K20-K40（硬路肩开放）,,,2025-07-18 07:20:00,2025-07-18 07:50:00,30.0,True
559,8260655,流量激增,2025-08-26 06:55:00,2025-08-26 07:30:00,G420151001000810010,绕东成龙站-绕东天府国际机场站门架,,G4202成都一绕高速,,DHS（动态硬路肩开放）,内环,,-14078,,,2025-08-26 07:30:00,2025-08-26 09:30:00,,G4202南段K20-K40（硬路肩开放）,,,2025-08-26 06:55:00,2025-08-26 07:30:00,35.0,True
564,9030655,流量激增,2025-09-03 06:55:00,2025-09-03 07:40:00,G420151001000810010,绕东成龙站-绕东天府国际机场站门架,,G4202成都一绕高速,,DHS（动态硬路肩开放）,内环,,-14078,,,2025-09-03 07:30:00,2025-09-03 09:30:00,,G4202南段K20-K40（硬路肩开放）,,,2025-09-03 06:55:00,2025-09-03 07:40:00,45.0,True
611,7080730,流量激增,2025-07-08 07:30:00,2025-07-08 08:00:00,G42015100100402010,天府出口,,G4202成都一绕高速,,DHS（动态硬路肩开放）,内环,,-11206,,,2025-07-08 07:30:00,2025-07-08 09:30:00,,G4202南段K20-K40（硬路肩开放）,,,2025-07-08 07:30:00,2025-07-08 08:00:00,30.0,True
612,7080730,流量激增,2025-07-08 07:30:00,2025-07-08 08:00:00,G42015100100402010,天府出口,,G4202成都一绕高速,,DHS（动态硬路肩开放）,内环,,-11206,,,2025-07-08 07:30:00,2025-07-08 09:30:00,,G4202南段K20-K40（硬路肩开放）,,,2025-07-08 07:30:00,2025-07-08 08:00:00,30.0,True
617,7140740,流量激增,2025-07-14 07:40:00,2025-07-14 08:10:00,G42015100100402010,天府出口,,G4202成都一绕高速,,DHS（动态硬路肩开放）,内环,,-11206,,,2025-07-14 07:30:00,2025-07-14 09:30:00,,G4202南段K20-K40（硬路肩开放）,,,2025-07-14 07:40:00,2025-07-14 08:10:00,30.0,True
618,7140740,流量激增,2025-07-14 07:40:00,2025-07-14 08:10:00,G42015100100402010,天府出口,,G4202成都一绕高速,,DHS（动态硬路肩开放）,内环,,-11206,,,2025-07-14 07:30:00,2025-07-14 09:30:00,,G4202南段K20-K40（硬路肩开放）,,,2025-07-14 07:40:00,2025-07-14 08:10:00,30.0,True
623,8270740,流量激增,2025-08-27 07:40:00,2025-08-27 08:15:00,G42015100100402010,天府出口,,G4202成都一绕高速,,DHS（动态硬路肩开放）,内环,,-11206,,,2025-08-27 07:30:00,2025-08-27 09:30:00,,G4202南段K20-K40（硬路肩开放）,,,2025-08-27 07:40:00,2025-08-27 08:15:00,35.0,True
624,8270740,流量激增,2025-08-27 07:40:00,2025-08-27 08:15:00,G42015100100402010,天府出口,,G4202成都一绕高速,,DHS（动态硬路肩开放）,内环,,-11206,,,2025-08-27 07:30:00,2025-08-27 09:30:00,,G4202南段K20-K40（硬路肩开放）,,,2025-08-27 07:40:00,2025-08-27 08:15:00,35.0,True
673,6271705,流量激增,2025-06-27 17:05:00,2025-06-27 17:35:00,G42015100100701010,机场A入口,,G4202成都一绕高速,,,内环,,-9306,,,,,,,,,2025-06-27 17:05:00,2025-06-27 17:35:00,30.0,False
800,8201735,流量激增,2025-08-20 17:35:00,2025-08-20 18:05:00,G42015100100702010,机场B出口,,G4202成都一绕高速,,,内环,,-9840.169,,,,,,,,,2025-08-20 17:35:00,2025-08-20 18:05:00,30.0,False
814,6230655,流量激增,2025-06-23 06:55:00,2025-06-23 07:25:00,G42015100100801010,成都A入口,,G4202成都一绕高速,,,内环,,-4708,,,,,,,,,2025-06-23 06:55:00,2025-06-23 07:25:00,30.0,False
1003,7220900,流量激增,2025-07-22 09:00:00,2025-07-22 09:35:00,G420151002000820010,绕西成彭站-绕西蜀源站门架,,G4202成都一绕高速,,DHS（动态硬路肩开放）,外环,,-2152,,,2025-07-22 07:30:00,2025-07-22 09:30:00,,G4202南段K20-K40（硬路肩开放）,,,2025-07-22 09:00:00,2025-07-22 09:35:00,35.0,True
