edge_id,start_stake,end_stake,route_direction,route_code,section_code
-13154,1.131,0.329,clockwise,G4202,G4202001
-5004,1.131,1.281,clockwise,G4202,G4202001
-11324,1.240,1.091,counterclockwise,G4202,G4202001
-11324.141,1.240,1.384,counterclockwise,G4202,G4202001
-6358,1.240,1.093,counterclockwise,G4202,G4202001
-7812,1.240,0.726,counterclockwise,G4202,G4202001
-5004.153,1.281,1.463,clockwise,G4202,G4202001
-9292,1.384,2.187,counterclockwise,G4202,G4202001
-3164,1.713,1.623,clockwise,G4202,G4202001
-8014,1.713,2.225,clockwise,G4202,G4202001
-16216,2.187,2.432,counterclockwise,G4202,G4202001
-10702,2.225,2.494,clockwise,G4202,G4202001
-13544,2.432,3.022,counterclockwise,G4202,G4202001
-12898,2.494,2.555,clockwise,G4202,G4202001
-11170,4.393,3.913,clockwise,G4202,G4202001
-12898.43,4.393,4.315,clockwise,G4202,G4202001
-17176,4.393,3.160,clockwise,G4202,G4202001
-3492,4.393,4.544,clockwise,G4202,G4202001
-12652,4.465,4.356,counterclockwise,G4202,G4202001
-2360,4.465,3.685,counterclockwise,G4202,G4202001
-3162,4.465,4.642,counterclockwise,G4202,G4202001
-5848,4.465,4.436,counterclockwise,G4202,G4202001
-8022,4.465,4.330,counterclockwise,G4202,G4202001
-8118,4.544,4.654,clockwise,G4202,G4202001
-10820,4.642,5.874,counterclockwise,G4202,G4202001
-10120,4.654,5.448,clockwise,G4202,G4202001
-10634,5.448,5.480,clockwise,G4202,G4202001
-6210,5.480,5.720,clockwise,G4202,G4202001
-6210.244,5.720,5.882,clockwise,G4202,G4202001
-12152,5.874,6.354,counterclockwise,G4202,G4202001
-3924,5.882,6.406,clockwise,G4202,G4202001
-14846,6.354,6.517,counterclockwise,G4202,G4202001
-12758,6.517,6.756,counterclockwise,G4202,G4202001
-10658,7.168,6.531,counterclockwise,G4202,G4202001
-5882,7.168,7.057,counterclockwise,G4202,G4202001
-5882.98,7.168,8.333,counterclockwise,G4202,G4202001
-5716,8.333,8.360,counterclockwise,G4202,G4202001
-7192,8.360,8.953,counterclockwise,G4202,G4202001
-7192.596,8.953,9.068,counterclockwise,G4202,G4202001
-5102,9.068,9.593,counterclockwise,G4202,G4202001
-13500,9.304,8.298,clockwise,G4202,G4202001
-15178,9.304,9.801,clockwise,G4202,G4202001
-3100,9.304,9.157,clockwise,G4202,G4202001
-3100.145,9.304,9.151,clockwise,G4202,G4202001
-8760,9.304,9.278,clockwise,G4202,G4202001
-9648,9.304,8.028,clockwise,G4202,G4202001
-9648.1279,9.304,9.168,clockwise,G4202,G4202001
-16858,9.593,10.448,counterclockwise,G4202,G4202001
-16768,9.801,9.954,clockwise,G4202,G4202001
-10594,10.012,12.010,clockwise,G4202,G4202001
-1180,10.012,9.984,clockwise,G4202,G4202001
-13974,10.047,9.927,upstream,S81,S0081001
-16114,10.047,9.403,upstream,S81,S0081001
-4000000236,10.047,9.550,upstream,S81,S0081001
-4000000240,10.047,7.928,upstream,S81,S0081001
-4000000438,10.047,10.529,downstream,S81,S0081001
-4000000440,10.047,9.299,upstream,S81,S0081001
-4000000442,10.047,9.912,upstream,S81,S0081001
-4000000443,10.047,8.780,upstream,S81,S0081001
-4000000446,10.047,9.794,upstream,S81,S0081001
-4000000449,10.047,9.028,upstream,S81,S0081001
-4000000450,10.047,9.656,upstream,S81,S0081001
-4000000452,10.047,9.691,upstream,S81,S0081001
-4000000455,10.047,9.707,upstream,S81,S0081001
-4000000495,10.047,9.667,upstream,S81,S0081001
-4000000500,10.047,9.606,upstream,S81,S0081001
-4000000503,10.047,9.844,upstream,S81,S0081001
-5578,10.047,9.868,upstream,S81,S0081001
-7036,10.047,9.975,upstream,S81,S0081001
-7438,10.047,9.769,upstream,S81,S0081001
-4000000436,10.529,11.071,downstream,S81,S0081001
-4000000434,11.071,11.760,downstream,S81,S0081001
-15494.1938,11.717,11.311,counterclockwise,G4202,G4202001
-15494.2377,11.717,10.477,counterclockwise,G4202,G4202001
-3662,11.717,13.710,counterclockwise,G4202,G4202001
-4000000432,11.760,12.647,downstream,S81,S0081001
-16766,12.010,12.883,clockwise,G4202,G4202001
-4000000496,12.647,12.749,downstream,S81,S0081001
-4000000499,12.749,13.222,downstream,S81,S0081001
-4000000430,13.222,13.740,downstream,S81,S0081001
-660,13.710,13.738,counterclockwise,G4202,G4202001
-17028,13.738,13.885,counterclockwise,G4202,G4202001
-1410,14.289,14.231,counterclockwise,G4202,G4202001
-15494,14.289,15.376,counterclockwise,G4202,G4202001
-3830,14.289,14.078,counterclockwise,G4202,G4202001
-3830.213,14.289,13.817,counterclockwise,G4202,G4202001
-16766.2439,14.481,15.642,clockwise,G4202,G4202001
-16766.867,14.481,12.971,clockwise,G4202,G4202001
-15494.1043,15.376,15.680,counterclockwise,G4202,G4202001
-13978,15.642,15.701,clockwise,G4202,G4202001
-15494.1445,15.680,16.012,counterclockwise,G4202,G4202001
