junction_id,inc_lanes,int_lanes,stake_number,route_direction,route_code,section_code
-50969,-16182_0 -16182_1 -16182_2,:-50969_0_0 :-50969_0_1 :-50969_0_2,0.000,upstream,G4202,G4202002
J67,-11116_0 -11116_1 -11116_2,:J67_0_0 :J67_0_1 :J67_0_2 :J67_0_3,0.000,upstream,G4202,G4202002
-33550,-16082_0 -16082_1 -3094_0 -3094_1 -3094_2 -3094_3,:-33550_0_0 :-33550_0_1 :-33550_2_0 :-33550_2_1 :-33550_2_2,0.000,upstream,G4202,G4202001
-28912,-1606.126_0 -1606.126_1 -1606.126_2,:-28912_0_0 :-28912_0_1 :-28912_0_2,0.000,upstream,G4202,G4202002
J110,-9648_0 -9648_1 -9648_2,:J110_0_0 :J110_0_1 :J110_0_2 :J110_0_3,0.000,upstream,G4202,G4202001
-25981,-10810.142_0 -10810.142_1 -10810.142_2,:-25981_0_0 :-25981_0_1 :-25981_0_2,0.000,upstream,G4202,G4202002
-33560,-3262_0 -3262_1 -13500_0 -13500_1 -13500_2,:-33560_0_0 :-33560_0_1 :-33560_2_0 :-33560_2_1 :-33560_2_2,0.000,upstream,G4202,G4202001
-55391,-11236_0 -11236_1 -11236_2,:-55391_0_0 :-55391_0_1 :-55391_0_2,0.000,upstream,G4202,G4202001
-29360,-1732_0 -1732_1,:-29360_0_0 :-29360_0_1,0.000,upstream,G4215,G4215蓉遵高速（成仁段）
-54795,-14838_0 -14838_1,:-54795_0_0 :-54795_1_0 :-54795_1_1,0.000,upstream,G4215,G4215蓉遵高速（成仁段）
-43744,-13064_0 -13064_1,:-43744_0_0 :-43744_0_1,0.000,upstream,G4215,G4215蓉遵高速（成仁段）
-35631,-5378_0 -5378_1,:-35631_0_0 :-35631_0_1,0.000,upstream,G5,G5京昆高速（雅泸段）
-33176,-2958_0 -2958_1,:-33176_0_0 :-33176_0_1,0.000,upstream,G5,G0005002
-35841,-3884_0 -3884_1 -3884_2,:-35841_0_0 :-35841_0_1 :-35841_0_2,0.000,upstream,G5,G0005005
-41715,-11286_0 -11286_1,:-41715_0_0 :-41715_0_1,0.000,upstream,G5,G0005007
-33728,-14368_0 -14368_1,:-33728_0_0 :-33728_0_1,0.000,upstream,G5,G5京昆高速（雅泸段）
-28973,-1616_0 -1616_1,:-28973_0_0 :-28973_0_1,0.000,upstream,G5,G0005008
-33876,-3236_0 -3236_1,:-33876_0_0 :-33876_0_1,0.000,upstream,G5,G5京昆高速（雅泸段）
-53758,-13000_0 -13000_1,:-53758_0_0 :-53758_0_1,0.000,upstream,G5,G0005009
-54116,-15606_0 -15606_1 -15606_2 -15606_3,:-54116_0_0 :-54116_0_1 :-54116_0_2 :-54116_0_3,0.000,upstream,G5,G0005005
-27645,-1200_0 -1200_1,:-27645_0_0 :-27645_0_1,0.000,upstream,G5,G0005003
-35433,-3800_0 -3800_1 -3800_2 -3800_3,:-35433_0_0 :-35433_0_1 :-35433_0_2 :-35433_0_3,0.000,upstream,G5,G0005005
-34658,-14514_0 -14514_1,:-34658_0_0 :-34658_0_1,0.000,upstream,G5,G0005009
-62033,-16600_0 -16600_1,:-62033_0_0 :-62033_0_1,0.000,upstream,G5,G5京昆高速（雅泸段）
-54582,-10890_0 -10890_1,:-54582_0_0 :-54582_0_1,0.000,upstream,G5,G0005008
-54617,-10914_0 -10914_1,:-54617_0_0 :-54617_0_1,0.000,upstream,G5,G0005007
-53167,-10382_0 -10382_1,:-53167_0_0 :-53167_1_0 :-53167_1_1,0.000,upstream,G5,G0005008
-55286,-13956_0 -13956_1,:-55286_0_0 :-55286_0_1,0.000,upstream,G5,G0005006
-55290,-11158_0 -11158_1,:-55290_0_0 :-55290_0_1,0.000,upstream,G5,G0005006
-55370,-15538_0 -15538_1,:-55370_0_0 :-55370_0_1,0.000,upstream,G5,G0005009
-52771,-10242_0 -10242_1 -10242_2,:-52771_0_0 :-52771_0_1 :-52771_0_2,0.000,upstream,G5,G0005005
-30073,-12628_0 -12628_1,:-30073_0_0 :-30073_0_1,0.000,upstream,G5,G0005003
-26983,-1004_0 -1004_1,:-26983_0_0 :-26983_0_1,0.000,upstream,G5,G0005007
-55631,-11354_0 -11354_1,:-55631_0_0 :-55631_0_1,0.000,upstream,G5,G0005007
-30074,-1958_0 -1958_1,:-30074_0_0 :-30074_0_1,0.000,upstream,G5,G0005003
-36588,-4190_0 -4190_1,:-36588_0_0 :-36588_0_1,0.000,upstream,G5,G0005003
-30196,-2508_0 -2508_1,:-30196_0_0 :-30196_0_1,0.000,upstream,G5,G0005009
-34188,-8348_0 -8348_1,:-34188_0_0 :-34188_0_1,0.000,upstream,G5,G0005007
-36768,-4250_0 -4250_1,:-36768_0_0 :-36768_0_1,0.000,upstream,G5,G0005003
-36855,-4298_0 -4298_1,:-36855_0_0 :-36855_0_1,0.000,upstream,G5,G5京昆高速公路绵广沙陵段
-36980,-4358_0 -4358_1,:-36980_0_0 :-36980_0_1,0.000,upstream,G5,G5京昆高速（雅泸段）
-30398,-5552_0 -5552_1 -5552_2 -5552_3,:-30398_0_0 :-30398_1_0 :-30398_1_1 :-30398_1_2 :-30398_1_3,0.000,upstream,G5,G0005005
-51636,-9740_0 -9740_1,:-51636_0_0 :-51636_0_1,0.000,upstream,G5,G0005007
-37248,-6628_0 -6628_1,:-37248_0_0 :-37248_0_1,0.000,upstream,G5,G0005007
-37255,-4452_0 -4452_1,:-37255_0_0 :-37255_0_1,0.000,upstream,G5,G0005007
-37301,-4468_0 -4468_1,:-37301_0_0 :-37301_0_1,0.000,upstream,G5,G5京昆高速（西攀段）
-37543,-4564_0 -4564_1,:-37543_0_0 :-37543_0_1,0.000,upstream,G5,G0005006
-55943,-15308_0 -15308_1,:-55943_0_0 :-55943_0_1,0.000,upstream,G5,G5京昆高速公路绵广沙陵段
3329908362,-4000000182_0 -4000000182_1,:3329908362_0_0 :3329908362_1_0 :3329908362_1_1,0.000,upstream,G5,G0005009
-51635,-13586_0 -13586_1,:-51635_0_0 :-51635_0_1,0.000,upstream,G5,G0005007
-37569,-4572_0 -4572_1 -4572_2 -4572_3,:-37569_0_0 :-37569_0_1 :-37569_0_2 :-37569_0_3,0.000,upstream,G5,G5京昆高速（成绵段）
-59954,-13234_0 -13234_1,:-59954_0_0 :-59954_0_1,0.000,upstream,G5,G5京昆高速（西攀段）
-28547,-9192_0 -9192_1,:-28547_0_0 :-28547_0_1,0.000,upstream,G5,G0005008
-37811,-11954_0 -11954_1,:-37811_0_0 :-37811_0_1,0.000,upstream,G5,G5京昆高速（雅泸段）
-51531,-9704_0 -9704_1,:-51531_0_0 :-51531_0_1,0.000,upstream,G5,G0005008
