toll_station_id,station_name,square_code,route_code,section_code,longitude,latitude,taz_id,entrance_exit,edge_id,junction_id
24,锦城湖收费站,G42015100100501010,G4202,G4202001,104.04329,30.574796,G42015100100501010,entrance,-3732,-35379
24,锦城湖收费站,G42015100100501020,G4202,G4202001,104.043515,30.56961,G42015100100501020,entrance,-9110,-50013
24,锦城湖收费站,G42015100100502010,G4202,G4202001,104.044021,30.574301,G42015100100502010,entrance,-3732,-35379
24,锦城湖收费站,G42015100100502020,G4202,G4202001,104.042431,30.570167,G42015100100502020,entrance,-5434,-40050
39,成金收费站,G42015100100201010,G4202,G4202001,104.191135,30.739931,G42015100100201010,entrance,-14112,-62325
39,成金收费站,G42015100100202010,G4202,G4202001,104.190826,30.739526,G42015100100202010,entrance,-14112,-62325
40,成龙收费站,G42015100100301010,G4202,G4202001,104.159114,30.580706,G42015100100301010,entrance,-8564,-48464
40,成龙收费站,G42015100100301020,G4202,G4202001,104.168955,30.576569,G42015100100301020,entrance,-15786,-53771
40,成龙收费站,G42015100100302010,G4202,G4202001,104.161786,30.579472,G42015100100302010,entrance,-4058,-36275
40,成龙收费站,G42015100100302020,G4202,G4202001,104.165284,30.577458,G42015100100302020,entrance,-6572,-42445
43,大件收费站,G42015100100101010,G4202,G4202001,104.129143,30.781072,G42015100100101010,entrance,-9982,-52121
43,大件收费站,G42015100100101020,G4202,G4202001,104.125282,30.776181,G42015100100101020,entrance,-1892,-29874
43,大件收费站,G42015100100102010,G4202,G4202001,104.129142,30.780481,G42015100100102010,entrance,-9982,-52121
43,大件收费站,G42015100100102020,G4202,G4202001,104.125033,30.776588,G42015100100102020,entrance,-1890.33,J6
46,成渝收费站,G42015100100801010,G4202,G4202001,104.19801,30.619051,G42015100100801010,entrance,-2532,-31983
46,成渝收费站,G42015100100801020,G4202,G4202001,104.209879,30.617635,G42015100100801020,entrance,-16466,-60067
46,成渝收费站,G42015100100802010,G4202,G4202001,104.195037,30.619927,G42015100100802010,entrance,-4708,-38017
46,成渝收费站,G42015100100802020,G4202,G4202001,104.211594,30.616507,G42015100100802020,entrance,-13292,-60057
47,天府收费站,G42015100100401010,G4202,G4202001,104.069439,30.572349,G42015100100401010,entrance,-2354,-31467
47,天府收费站,G42015100100402010,G4202,G4202001,104.069742,30.571997,G42015100100402010,entrance,-2354,-31467
48,成雅收费站,G42015100100601010,G4202,G4202001,104.044083,30.571583,G42015100100601010,entrance,-2966,-33212
48,成雅收费站,G42015100100601020,G4202,G4202001,104.027625,30.580246,G42015100100601020,entrance,-11520.259,J45
48,成雅收费站,G42015100100602010,G4202,G4202001,104.028411,30.580974,G42015100100602010,entrance,-17056,-46001
48,成雅收费站,G42015100100602020,G4202,G4202001,104.027761,30.577091,G42015100100602020,entrance,-6646,-42820
49,机场收费站,G42015100100701010,G4202,G4202001,104.014789,30.584249,G42015100100701010,entrance,-7232,-34255
49,机场收费站,G42015100100701020,G4202,G4202001,104.016801,30.582009,G42015100100701020,entrance,-7068,-29598
49,机场收费站,G42015100100702010,G4202,G4202001,104.018084,30.5819,G42015100100702010,entrance,-14776,-44542
49,机场收费站,G42015100100702020,G4202,G4202001,104.013696,30.58448,G42015100100702020,entrance,-7232,-34255
275,成仁收费站,G42015100100901010,G4202,G4202001,104.107932,30.565611,G42015100100901010,entrance,-4662,-37841
275,成仁收费站,G42015100100902010,G4202,G4202001,104.107266,30.565979,G42015100100902010,entrance,-10800,-25916
51,双流收费站,G42015100200501010,G4202,G4202002,103.952817,30.612452,G42015100200501010,entrance,-5336,-39770
51,双流收费站,G42015100200501020,G4202,G4202002,103.94553,30.60867,G42015100200501020,entrance,-4924,-38659
51,双流收费站,G42015100200502010,G4202,G4202002,103.953238,30.612186,G42015100200502010,entrance,-5336,-39770
51,双流收费站,G42015100200502020,G4202,G4202002,103.945167,30.609059,G42015100200502020,entrance,-4924,-38659
53,成灌收费站,G42015100200301010,G4202,G4202002,103.944255,30.752226,G42015100200301010,entrance,-1544,-28645
53,成灌收费站,G42015100200301020,G4202,G4202002,103.936803,30.756789,G42015100200301020,entrance,-3840,-35721
53,成灌收费站,G42015100200302010,G4202,G4202002,103.943801,30.751831,G42015100200302010,entrance,-1628,-28995
53,成灌收费站,G42015100200302020,G4202,G4202002,103.938836,30.756646,G42015100200302020,entrance,-14030,-27080
56,永宁收费站,G42015100200601010,G4202,G4202002,103.929168,30.724797,G42015100200601010,entrance,-8486,-48247
56,永宁收费站,G42015100200602010,G4202,G4202002,103.929111,30.724979,G42015100200602010,entrance,-8486,-48247
57,北新收费站,G42015100200201010,G4202,G4202002,104.073987,30.783397,G42015100200201010,entrance,-14704,-63839
57,北新收费站,G42015100200201020,G4202,G4202002,104.07351,30.789885,G42015100200201020,entrance,-12776,-58748
57,北新收费站,G42015100200202010,G4202,G4202002,104.073387,30.783457,G42015100200202010,entrance,-14704,-63839
57,北新收费站,G42015100200202020,G4202,G4202002,104.074064,30.789422,G42015100200202020,entrance,-13520,-58749
58,成新蒲收费站,G42015100200401010,G4202,G4202002,103.944626,30.63937,G42015100200401010,entrance,-1830,-29697
58,成新蒲收费站,G42015100200401020,G4202,G4202002,103.93502,30.637452,G42015100200401020,entrance,-8352,-47757
58,成新蒲收费站,G42015100200402010,G4202,G4202002,103.945067,30.638498,G42015100200402010,entrance,-1830,-29697
58,成新蒲收费站,G42015100200402020,G4202,G4202002,103.935827,30.638286,G42015100200402020,entrance,-13994,-56855
59,货运大道收费站,G42015100200101010,G4202,G4202002,104.109247,30.789843,G42015100200101010,entrance,-2766,-32673
59,货运大道收费站,G42015100200102010,G4202,G4202002,104.109381,30.789618,G42015100200102010,entrance,-2766,-32673
85,光华大道收费站,G42015100200801010,G4202,G4202002,103.936768,30.674023,G42015100200801010,entrance,-9744,-51639
85,光华大道收费站,G42015100200801020,G4202,G4202002,103.928712,30.67412,G42015100200801020,entrance,-14438,-63184
85,光华大道收费站,G42015100200802010,G4202,G4202002,103.93658,30.673408,G42015100200802010,entrance,-9744,-51639
85,光华大道收费站,G42015100200802020,G4202,G4202002,103.928868,30.674834,G42015100200802020,entrance,-14438,-63184
86,蜀源大道收费站,G42015100200701010,G4202,G4202002,103.98618,30.778177,G42015100200701010,entrance,-4086,-36332
86,蜀源大道收费站,G42015100200701020,G4202,G4202002,103.980949,30.786142,G42015100200701020,entrance,-12018,-57012
86,蜀源大道收费站,G42015100200702010,G4202,G4202002,103.98549,30.777868,G42015100200702010,entrance,-4086,-36332
86,蜀源大道收费站,G42015100200702020,G4202,G4202002,103.981747,30.786209,G42015100200702020,entrance,-12018,-57012
437,文宫收费站,G42155100100501020,G4215,G4215001,104.180514,30.16667,,entrance,,
437,文宫收费站,G42155100100502010,G4215,G4215001,104.180271,30.166596,,entrance,,
438,仁寿东收费站,G42155100100601020,G4215,G4215001,104.212879,30.024315,,entrance,,
438,仁寿东收费站,G42155100100602010,G4215,G4215001,104.212756,30.024462,,entrance,,
440,富加收费站,G42155100100701020,G4215,G4215001,104.2657,29.937107,,entrance,,
440,富加收费站,G42155100100702010,G4215,G4215001,104.265557,29.93716,,entrance,,
441,宝飞收费站,G42155100100801020,G4215,G4215001,104.311811,29.843696,,entrance,-7826,-46374
441,宝飞收费站,G42155100100802010,G4215,G4215001,104.311688,29.843802,,entrance,-15682,-65896
442,汪洋收费站,G42155100100901020,G4215,G4215001,104.368784,29.768115,,entrance,-2594,-32198
442,汪洋收费站,G42155100100902010,G4215,G4215001,104.368692,29.768157,,entrance,-2594,-32198
419,连界收费站,G42155100200101010,G4215,G4215002,104.48922,29.708964,,entrance,,
419,连界收费站,G42155100200102010,G4215,G4215002,104.488762,29.708908,,entrance,,
420,新场收费站,G42155100200201010,G4215,G4215002,104.545376,29.613038,,entrance,,
420,新场收费站,G42155100200202010,G4215,G4215002,104.545191,29.612835,,entrance,,
265,剑门关收费站,G00055100200301010,G5,G0005002,105.517702,32.277232,G00055100200301010,entrance,-1944,-30037
265,剑门关收费站,G00055100200302010,G5,G0005002,105.517702,32.277232,G00055100200302010,entrance,-1944,-30037
266,昭化收费站,G00055100200204010,G5,G0005002,105.682346,32.361341,G00055100200204010,entrance,-8524,-48354
266,昭化收费站,G00055100200204020,G5,G0005002,105.682274,32.360655,G00055100200204020,entrance,-10576,-35919
267,广元收费站,G00055100200104010,G5,G0005002,105.755202,32.41697,G00055100200104010,entrance,-6278,-42341
267,广元收费站,G00055100200104020,G5,G0005002,105.755191,32.417038,G00055100200104020,entrance,-6278,-42341
245,绵阳南收费站,G00055100301104010,G5,G0005003,104.598259,31.447436,G00055100301104010,entrance,-6050,-41806
245,绵阳南收费站,G00055100301104020,G5,G0005003,104.597982,31.447314,G00055100301104020,entrance,-6050,-41806
246,绵阳收费站,G00055100301004010,G5,G0005003,104.659108,31.513378,G00055100301004010,entrance,-13370,-60288
